Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Jessica Lister	F	Jr	25	7	8	15	0.6000	9	18	0	1	0	0
Erica Shapey	F	Fr	25	2	12	14	0.5600	9	29	0	0	0	0
Gillian Toneguzzo	F	Fr	25	4	6	10	0.4000	9	18	2	0	0	0
Jenna Kirkwood	F	So	25	6	3	9	0.3600	3	6	2	2	0	0
Emily Grippin	F	Fr	23	4	3	7	0.3043	6	23	0	1	2	0
Ashley Meyers	D	Jr	21	4	2	6	0.2857	12	24	2	0	0	0
Stephanie Esposito	F	Jr	16	3	3	6	0.3750	3	6	0	1	0	0
Angie Friesen	D	So	24	2	3	5	0.2083	16	32	0	1	0	0
Brenna Weber	D	Fr	23	1	4	5	0.2174	15	30	1	0	0	0
Sarah Hannon	F/D	Fr	19	2	2	4	0.2105	0	0	0	0	0	0
Tiffany Duquette	F	So	25	2	2	4	0.1600	5	21	1	0	0	0
Krista Pattemore	F	Fr	23	1	3	4	0.1739	2	4	0	0	0	0
Mackenzie May	F	So	23	2	1	3	0.1304	3	6	0	1	0	0
Aprilyn Gush	D	So	22	1	2	3	0.1364	4	8	0	0	0	0
Kendall Hanley	F	Jr	23	1	1	2	0.0870	7	14	0	0	0	0
Annie Hirschkorn	F	Fr	16	1	1	2	0.1250	1	2	0	0	0	0
Natalie Rossi	D	Fr	21	0	1	1	0.0476	12	24	0	0	0	0
Erin Robson	G	So	3	0	0	0	0.0000	0	0	0	0	0	0
Jessica Zenzel	F	So	14	0	0	0	0.0000	3	6	0	0	0	0
Meagan Big Snake	D	Fr	22	0	0	0	0.0000	11	22	0	0	0	0
Karly Armstrong	F	So	14	0	0	0	0.0000	2	4	0	0	0	0
Kendra Lemire	F	So	10	0	0	0	0.0000	3	6	0	0	0	0
Emi Williams	G	Fr	4	0	0	0	0.0000	0	0	0	0	0	0
Amanda Chattelle	D	So	11	0	0	0	0.0000	1	2	0	0	0	0
Hilary Hitchman	G	So	21	0	0	0	0.0000	0	0	0	0	0	0
