Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Shannon Yoxheimer	F	Fr	34	14	17	31	0.9118	5	10	3	3	0	0
Taylor Gross	F	Jr	34	7	15	22	0.6471	5	10	0	4	0	0
Jess Desorcie	F	So	34	5	13	18	0.5294	6	12	0	0	0	0
Hannah Hoenshell	F	Fr	29	9	5	14	0.4828	5	10	1	0	0	0
Jill Holdcroft	F	Fr	33	10	2	12	0.3636	2	4	0	6	0	0
Emily Laurenzi	F	Fr	35	4	7	11	0.3143	7	14	1	1	0	0
Jordin Pardoski	D	Fr	35	3	7	10	0.2857	20	40	0	1	0	0
Birdie Shaw	F	Fr	33	3	5	8	0.2424	10	20	0	0	0	1
Paige Jahnke	D	Fr	35	0	8	8	0.2286	11	22	0	0	0	0
Jenna Welch	F	Jr	35	4	3	7	0.2000	15	30	0	0	0	0
Madison Smiddy	D	So	15	1	6	7	0.4667	5	10	0	1	0	0
Micayla Catanzariti	F	Fr	35	3	2	5	0.1429	16	32	0	0	0	0
Jeanette Bateman	F/D	Fr	35	1	4	5	0.1429	6	12	0	1	0	0
Kendra Rasmussen	F	Fr	35	3	1	4	0.1143	3	6	1	0	0	0
Katie Zinn	F	Fr	12	1	3	4	0.3333	1	2	1	0	0	0
Tess Weaver	F	So	31	1	2	3	0.0968	2	4	0	0	0	0
Taylor McGee	D	Fr	23	0	2	2	0.0870	8	16	0	0	0	0
Darby Kern	F	Fr	18	0	1	1	0.0556	2	4	0	0	0	0
Lindsay Reihl	D	Sr	35	0	1	1	0.0286	7	14	0	0	0	0
Sarah Wilkie	D	Fr	27	0	1	1	0.0370	0	0	0	0	0	0
Nicole Paniccia	G	Jr	27	0	0	0	0.0000	0	0	0	0	0	0
Kate Christoffersen	F	Sr	4	0	0	0	0.0000	0	0	0	0	0	0
Brooke Meyer	G	Fr	3	0	0	0	0.0000	0	0	0	0	0	0
Cara Mendelson	D/F	So	2	0	0	0	0.0000	0	0	0	0	0	0
Katie Murphy	F	So	13	0	0	0	0.0000	0	0	0	0	0	0
Celine Whitlinger	G	Fr	10	0	0	0	0.0000	0	0	0	0	0	0
Stephanie Walkom	D	Fr	8	0	0	0	0.0000	2	4	0	0	0	0
