Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Hannah Hoenshell	F	So	36	5	12	17	0.4722	2	4	2	0	0	0
Laura Bowman	F	Fr	36	10	6	16	0.4444	11	22	1	1	0	0
Shannon Yoxheimer	F	So	36	8	8	16	0.4444	8	16	0	2	0	0
Taylor Gross	F	Sr	36	7	8	15	0.4167	2	4	1	2	0	0
Amy Petersen	F	Fr	36	5	10	15	0.4167	1	2	0	1	0	0
Jordin Pardoski	D	So	36	3	5	8	0.2222	14	28	0	1	0	0
Jill Holdcroft	F	So	36	4	3	7	0.1944	7	14	0	1	1	0
Sarah Nielsen	F	Fr	36	1	5	6	0.1667	8	16	0	0	0	0
Kelly Seward	D	Fr	35	3	1	4	0.1143	8	16	0	2	0	0
Emily Laurenzi	F	So	36	0	3	3	0.0833	11	22	0	0	0	0
Jenna Welch	F	Sr	36	1	1	2	0.0556	14	28	0	0	0	0
Kendra Rasmussen	F	So	30	1	1	2	0.0667	2	4	0	0	0	0
Jess Desorcie	F	Jr	34	1	1	2	0.0588	3	6	0	0	0	0
Paige Jahnke	D	So	34	0	2	2	0.0588	9	18	0	0	0	0
Jeanette Bateman	F/D	So	35	0	1	1	0.0286	5	10	0	0	0	0
Nicole Paniccia	G	Sr	22	0	1	1	0.0455	0	0	0	0	0	0
Birdie Shaw	F	So	22	0	1	1	0.0455	6	12	0	0	0	0
Madison Smiddy	D	Jr	5	0	1	1	0.2000	1	2	0	0	0	0
Lindsay Reihl	D	Sr	35	0	1	1	0.0286	4	8	0	0	0	0
Micayla Catanzariti	F	So	18	0	0	0	0.0000	1	2	0	0	0	0
Stephanie Walkom	D	So	13	0	0	0	0.0000	0	0	0	0	0	0
Tess Weaver	F	Jr	4	0	0	0	0.0000	1	2	0	0	0	0
Sarah Wilkie	D	So	19	0	0	0	0.0000	2	4	0	0	0	0
Celine Whitlinger	G	So	15	0	0	0	0.0000	0	0	0	0	0	0
