Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Elizabeth Gibson	F	Sr	29	23	23	46	1.5862	1	6	5	0
Jenn Clarke	F	Jr	29	18	21	39	1.3448	6	3	1	0
Jamie Longo	F	Fr	29	15	15	30	1.0345	5	4	0	0
Jessica Moreau	F	So	28	19	9	28	1.0000	2	5	0	1
Lynn Taylor	F	Sr	29	7	17	24	0.8276	1	2	1	0
Chantalle Rye	D	Jr	28	4	17	21	0.7500	0	2	0	0
Kelley Moore	F	Sr	26	8	11	19	0.7308	2	1	0	0
Sarah Samson	F	Fr	28	6	7	13	0.4643	2	0	0	0
Christina Kerr	F	Sr	29	5	8	13	0.4483	0	1	0	0
Julie Devereux	D	Fr	29	3	9	12	0.4138	0	1	0	0
Lisa Bettencourt	F/D	Sr	29	5	5	10	0.3448	1	0	0	0
Katie D'Arcy	D	Sr	29	1	9	10	0.3448	0	0	0	0
Sam Menton	F	Fr	25	2	7	9	0.3600	0	0	0	0
Erin O'Brien	D	Sr	29	1	8	9	0.3103	0	0	0	0
Elise Campbell	F	Fr	23	5	2	7	0.3043	1	1	0	0
Randi-Lynn Krug	D	Sr	24	3	3	6	0.2500	0	1	0	0
Sharis Smith	D	Fr	26	2	3	5	0.1923	0	1	0	0
Abbie Vigue	D	Fr	18	2	3	5	0.2778	0	1	0	0
Melissa Miceli	F/D	Sr	18	1	4	5	0.2778	0	0	0	0
Rachelle Arnott	D	Fr	6	1	2	3	0.5000	0	0	0	0
Adrianna Riggio	D	Fr	7	2	0	2	0.2857	0	1	0	0
Sarah Pearson	D	So	3	0	1	1	0.3333	0	0	0	0
Carolyne Roy	G	Sr	24	0	0	0	0.0000	0	0	0	0
Rachel Bennett	G	So	1	0	0	0	0.0000	0	0	0	0
Breanne Doyle	G	Jr	8	0	0	0	0.0000	0	0	0	0
