Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Danielle Blanchard	F	Jr	27	28	20	48	1.7778	10	20	6	7	5	0
Stephanie Moberg	F/D	So	25	13	22	35	1.4000	0	0	4	2	3	0
Shay Bywater	F	Jr	29	12	23	35	1.2069	9	18	2	3	0	0
Laurie Bowler	F	So	28	21	6	27	0.9643	10	20	3	12	1	1
Claire O'Connor	F	Jr	29	10	13	23	0.7931	4	8	2	5	1	1
Lindsay Brown	F	Jr	28	8	13	21	0.7500	5	10	0	3	0	0
Julie Devereux	D	Sr	29	0	18	18	0.6207	13	26	0	0	0	0
Amber Ellis	F	So	23	6	9	15	0.6522	4	8	2	2	0	0
Megan DiJulio	F	Fr	29	10	4	14	0.4828	7	25	2	0	0	0
Kate Fairfield	F	Fr	29	9	5	14	0.4828	17	34	0	2	0	0
Sharis Smith	D	Sr	29	0	13	13	0.4483	8	16	0	0	0	0
Kayla McDougall	F	So	10	3	7	10	1.0000	2	4	2	0	0	0
Ainsley Brien	D	Jr	27	0	10	10	0.3704	18	36	0	0	0	0
Steph Moon	F	Fr	28	2	7	9	0.3214	10	20	1	0	0	0
Brittany Meade	F	Fr	28	2	7	9	0.3214	5	10	1	0	0	0
Kara Buehler	D	Fr	29	1	5	6	0.2069	10	20	0	0	0	0
Kristen Bond	D	Fr	23	1	2	3	0.1304	5	10	0	0	0	0
Elise Campbell	F/D	Sr	10	1	1	2	0.2000	2	4	0	0	0	0
Helen Giroux	F	Fr	4	1	1	2	0.5000	0	0	0	1	0	0
Tara Khan	D	Jr	23	0	2	2	0.0870	12	24	0	0	0	0
Sarah Samson	F	Sr	24	0	1	1	0.0417	7	14	0	0	0	0
Danielle Beattie	G	Jr	25	0	0	0	0.0000	1	2	0	0	0	0
Amanda Hoy	G	Fr	3	0	0	0	0.0000	0	0	0	0	0	0
Mandy Mackrell	G	Fr	4	0	0	0	0.0000	0	0	0	0	0	0
