Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Amanda Kreamer	D	So	13	2	1	3	0.2308	0	1	0	0
Amanda Arponen	F	Fr	12	1	0	1	0.0833	0	0	0	0
Kristen Leach	D	Fr	13	1	0	1	0.0769	0	1	0	0
Kelly Williams	F	Sr	10	1	0	1	0.1000	0	0	0	0
Alyssa Hovanec	F	Fr	12	0	1	1	0.0833	0	0	0	0
Julie Robida	D	So	12	0	1	1	0.0833	0	0	0	0
Kim Chandler	F	So	11	0	1	1	0.0909	0	0	0	0
Ursula Volosevich	F	So	13	0	0	0	0.0000	0	0	0	0
Missy Fales	F	Sr	10	0	0	0	0.0000	0	0	0	0
Sam Turner	F	Sr	12	0	0	0	0.0000	0	0	0	0
Lindsay DeLorie	G	So	13	0	0	0	0.0000	0	0	0	0
Meryl Pye	F	So	12	0	0	0	0.0000	0	0	0	0
Danielle Calligandes	D	So	13	0	0	0	0.0000	0	0	0	0
Molly Perron	F	Jr	13	0	0	0	0.0000	0	0	0	0
Katie Barany	D	Jr	2	0	0	0	0.0000	0	0	0	0
Courtney McKay	D	Fr	13	0	0	0	0.0000	0	0	0	0
Amanda Arvin	G	Fr	1	0	0	0	0.0000	0	0	0	0
