Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Bri Davis	F	Jr	18	4	6	10	0.5556	8	16	0	2	0	0
Jane Baruch	F	Fr	23	4	3	7	0.3043	1	2	0	1	0	0
Rebecca Fogg	F	Fr	19	3	4	7	0.3684	6	12	0	1	0	0
Jamie O'Brien	F	Fr	20	2	4	6	0.3000	1	2	0	1	0	0
Molly Blaine	D	Jr	22	2	4	6	0.2727	3	6	0	1	0	0
Allison Collins	F	Fr	22	2	3	5	0.2273	3	6	0	0	0	0
Abby Van Wormer	D	Jr	5	2	1	3	0.6000	3	6	0	1	0	0
Tina Worley	F	Jr	20	2	0	2	0.1000	11	44	0	1	0	0
Katie Landry	D	Fr	22	1	1	2	0.0909	5	10	1	0	0	0
Brittany Oliver	D	Fr	6	1	1	2	0.3333	5	10	0	1	0	0
Meghan Cassidy	F	Fr	17	1	1	2	0.1176	2	4	0	0	0	0
Carrie Baruch	D	Fr	23	0	2	2	0.0870	10	20	0	0	0	0
Stephanie Newmark	D	Fr	21	0	2	2	0.0952	4	8	0	0	0	0
Ali Myers	F	Fr	19	1	0	1	0.0526	1	2	0	0	0	0
Tasha Wyatt	D	Fr	19	1	0	1	0.0526	17	34	0	1	0	0
Claire Ficaro	D	Fr	17	0	1	1	0.0588	14	28	0	0	0	0
Jackie Collins	F	So	7	0	1	1	0.1429	2	4	0	0	0	0
Jenn Bove	F	So	2	0	1	1	0.5000	0	0	0	0	0	0
Ali Ponte	G	Fr	23	0	0	0	0.0000	0	0	0	0	0	0
Alyssa Audet	F	Fr	11	0	0	0	0.0000	3	6	0	0	0	0
Montanna Heinlein	F	So	20	0	0	0	0.0000	5	10	0	0	0	0
Nicole Crandle	G	Fr	2	0	0	0	0.0000	0	0	0	0	0	0
Dana Volk	F/D	Fr	4	0	0	0	0.0000	1	2	0	0	0	0
Kaela Mitchell	F/D	Fr	17	0	0	0	0.0000	1	2	0	0	0	0
Nicole Provencher	G	Jr	4	0	0	0	0.0000	0	0	0	0	0	0
Jessica Matson	D	Fr	4	0	0	0	0.0000	3	6	0	0	0	0
Kelsey Maguire	F	Fr	23	0	0	0	0.0000	6	12	0	0	0	0
Jackie Morin	F	Fr	2	0	0	0	0.0000	0	0	0	0	0	0
Michelle Leonard	F	Jr	10	0	0	0	0.0000	1	2	0	0	0	0
