Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Stephanie Simons	F	So	25	10	15	25	1.0000	1	2	4	4	0	0
Breanna Roy	D	So	24	9	12	21	0.8750	35	70	1	4	0	0
Annmarie Lewis	F	So	25	9	11	20	0.8000	16	40	2	5	0	1
Stephanie Malcolm	D	So	24	3	8	11	0.4583	9	18	1	1	0	0
Katie Komsa	F	Fr	24	4	6	10	0.4167	21	42	0	3	0	0
Kristine Faffley	F/D	Jr	25	4	4	8	0.3200	7	14	0	0	0	0
Courtney Laughlin	F	So	25	3	5	8	0.3200	16	32	0	3	0	0
Nicky Bougie	F	So	18	3	4	7	0.3889	10	20	0	1	0	0
Amanda King	F	So	23	4	2	6	0.2609	5	10	0	0	0	0
Kelli McBurnie	F	So	24	1	5	6	0.2500	4	8	1	0	0	0
Stephanie Dwyer	D	Fr	25	3	2	5	0.2000	5	10	0	0	1	0
Nadine Cunningham	D	Fr	20	3	1	4	0.2000	14	28	0	0	0	0
Monique Gagner	F	So	20	1	2	3	0.1500	20	40	0	0	0	0
Brittany Westlake	D	Fr	24	0	2	2	0.0833	15	41	0	0	0	0
Brandi Atwell	F/D	So	24	0	1	1	0.0417	13	26	0	0	0	0
Jen Conophy	G	Fr	13	0	0	0	0.0000	0	0	0	0	0	0
Hilary Hitchman	G	Sr	21	0	0	0	0.0000	0	0	0	0	0	0
