Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Annmarie Lewis	F	Sr	24	17	15	32	1.3333	9	18	3	4	0	1
Breanna Roy	D	Sr	25	9	20	29	1.1600	34	68	2	4	0	0
Jessica Silveira	F	So	25	14	9	23	0.9200	26	52	3	2	0	2
Jenn Crawford	F	So	25	10	11	21	0.8400	17	34	2	4	0	0
Izzy Fayerman	F	Fr	25	7	14	21	0.8400	12	27	1	3	0	0
Caitlin Manahan	F	Sr	25	8	11	19	0.7600	7	14	0	1	1	0
Brittany Lucky	D	So	25	6	13	19	0.7600	5	10	0	3	0	0
Alexandra Holowka	F	Fr	25	5	2	7	0.2800	5	10	1	1	0	0
Katie Komsa	F	Jr	25	3	3	6	0.2400	10	20	0	0	0	0
Emilee Hazelden	F	Fr	14	2	2	4	0.2857	1	2	0	0	0	0
Brittany Westlake	D	Jr	24	1	2	3	0.1250	13	26	0	0	0	0
Brandi Atwell	F/D	Sr	23	0	3	3	0.1304	4	8	0	0	0	0
Keri Dempsey	F/D	Fr	11	0	1	1	0.0909	2	4	0	0	0	0
Nadine Cunningham	D	Jr	22	0	1	1	0.0455	10	20	0	0	0	0
Jen Conophy	G	Jr	15	0	0	0	0.0000	1	2	0	0	0	0
Dawna Salvarinas	G	So	10	0	0	0	0.0000	0	0	0	0	0	0
