Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Kim Pearce	F	Jr	33	11	30	41	1.2424	3	1	0	0
Annie Greenwood	F	Fr	33	25	9	34	1.0303	5	12	0	0
Marykate Oakley	F	So	29	13	16	29	1.0000	1	4	0	0
Heather Jackson	F	Sr	33	7	17	24	0.7273	0	2	0	0
Dina McCumber	D	Jr	33	3	21	24	0.7273	0	2	0	0
Laura Watt	F	Jr	33	7	14	21	0.6364	2	6	0	0
Brittany Salmon	F	So	33	12	7	19	0.5758	1	4	0	0
Sarah Butsch	F	Sr	33	10	7	17	0.5152	4	2	1	0
Christine Foster	F	Fr	33	5	5	10	0.3030	1	1	0	0
Chrissie Norwich	D	Sr	33	0	9	9	0.2727	0	0	0	0
Katherine Dineen	D	Fr	33	3	4	7	0.2121	1	2	0	0
Tarah Clark	F	Sr	33	3	4	7	0.2121	2	0	1	0
Kate Hession	D	Jr	33	2	5	7	0.2121	0	0	0	0
Sonja Novak	F	So	33	1	4	5	0.1515	1	0	0	0
Alison Ralph	F	Jr	33	2	1	3	0.0909	0	0	1	0
Margaret Jennings	D	So	11	0	0	0	0.0000	0	0	0	0
Monica Brennan	D	Fr	27	0	0	0	0.0000	0	0	0	0
Roxanne Gaudiel	G	Sr	31	0	0	0	0.0000	0	0	0	0
Mariesa Mason	D	Fr	28	0	0	0	0.0000	0	0	0	0
Rebecca Allen	G	So	1	0	0	0	0.0000	0	0	0	0
Kristen Young	G	Fr	5	0	0	0	0.0000	0	0	0	0
Vicki Chen	F	Fr	8	0	0	0	0.0000	0	0	0	0
Micol Martinelli	F	So	29	0	0	0	0.0000	0	0	0	0
