Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Kim Pearce	F	Sr	31	14	20	34	1.0968	3	1	0	0
Marykate Oakley	F	Jr	30	15	14	29	0.9667	2	6	1	0
Laura Watt	F	Sr	31	7	15	22	0.7097	3	2	0	0
Melanie Wallace	F	Fr	31	8	9	17	0.5484	2	5	0	0
Liz Keady	F	Jr	31	6	10	16	0.5161	0	1	2	0
Dina McCumber	D	Sr	28	5	10	15	0.5357	1	3	0	0
Brittany Salmon	F	Jr	31	7	5	12	0.3871	3	1	2	0
Annie Greenwood	F	So	28	6	4	10	0.3571	0	1	0	0
Katherine Dineen	D	So	31	2	8	10	0.3226	0	2	0	0
Kate Hession	D	Sr	30	2	8	10	0.3333	0	1	0	0
Alison Ralph	F	Sr	31	2	4	6	0.1935	0	0	0	0
Sonja Novak	F	Jr	31	2	3	5	0.1613	1	0	0	0
Christine Foster	F	So	31	1	4	5	0.1613	0	0	0	0
Stephanie Denino	D	Fr	31	2	1	3	0.0968	0	0	0	0
Micol Martinelli	F	Jr	31	0	2	2	0.0645	0	0	0	0
Monica Brennan	D	So	28	1	0	1	0.0357	1	0	0	0
Maddie Endicott	D	Fr	31	0	1	1	0.0323	0	0	0	0
Julie Flynn	F	Fr	31	0	1	1	0.0323	0	0	0	0
Kristen Young	G	So	21	0	0	0	0.0000	0	0	0	0
Rebecca Allen	G	Jr	1	0	0	0	0.0000	0	0	0	0
Brittany Parisi	G	Fr	12	0	0	0	0.0000	0	0	0	0
Mariesa Mason	D	So	10	0	0	0	0.0000	0	0	0	0
