Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Corey Stearns	F	Sr	29	5	26	31	1.0690	5	10	1	0	1	2
Kelly Cooke	F	Sr	29	15	12	27	0.9310	1	2	2	3	2	0
Sally Butler	F	Jr	29	8	7	15	0.5172	5	10	2	2	0	1
Brianna Leahy	F	So	29	9	5	14	0.4828	8	16	2	2	1	0
Olivia Mucha	F	Jr	23	6	7	13	0.5652	4	8	0	2	0	0
Alex Kinney	F	Sr	29	4	7	11	0.3793	1	2	0	2	0	0
Rose Alleva	D	Jr	29	1	10	11	0.3793	5	10	0	0	0	0
Molly Contini	F	Fr	29	9	1	10	0.3448	4	8	2	2	0	0
Denna Laing	F	Jr	27	3	7	10	0.3704	6	12	0	0	0	0
Gabie Figueroa	D	Jr	29	1	7	8	0.2759	24	48	0	1	0	0
Ali Pankowski	D	So	29	2	5	7	0.2414	26	52	0	1	0	0
Brianne Mahoney	D	So	27	0	3	3	0.1111	9	18	0	0	0	0
Cristin Shanahan	F	Fr	29	2	0	2	0.0690	2	4	1	0	0	0
Karen MacDonald	D	Fr	29	1	1	2	0.0690	5	10	1	0	0	0
Maddie Peake	F	Fr	29	0	2	2	0.0690	2	4	0	0	0	0
Kimberly Newell	G	Fr	26	0	0	0	0.0000	0	0	0	0	0	0
Ashley Holt	G	So	8	0	0	0	0.0000	0	0	0	0	0	0
