Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Jenn Butsch	F	Jr	37	16	15	31	0.8378	4	6	1	1
Danielle Culgin	F	Jr	37	14	15	29	0.7838	2	7	1	0
Darlene Stephenson	F	So	36	13	15	28	0.7778	1	1	0	1
Kelli Halcisak	D	So	31	9	19	28	0.9032	2	2	0	0
Kim Mathias	F	Sr	35	5	22	27	0.7714	0	1	0	0
Rush Zimmerman	F	Fr	30	10	12	22	0.7333	1	3	0	0
Melanie Ruzzi	F	Jr	37	6	15	21	0.5676	0	1	1	2
Hilary Greaves	F	Fr	35	11	9	20	0.5714	1	4	0	0
Ashley Payton	F	Fr	35	9	9	18	0.5143	3	3	0	0
Meredith Roth	D	So	26	7	11	18	0.6923	0	5	0	0
Jackie Tamsin	F	Sr	37	6	6	12	0.3243	3	1	1	0
Carrie Holldorf	F/D	Fr	19	7	4	11	0.5789	1	3	0	0
Sarah Youlen	F	So	37	5	6	11	0.2973	2	0	0	0
Christa Talbot	D	Jr	37	0	9	9	0.2432	0	0	0	0
Mara Amrhein	F/D	Fr	32	0	5	5	0.1563	0	0	0	0
Danielle Bourgette	D	Fr	29	1	3	4	0.1379	0	0	0	0
Angela Hill	D	Sr	37	1	3	4	0.1081	0	0	0	0
Beth Wolff	F	Sr	25	2	1	3	0.1200	0	0	0	0
Jennifer Kranz	D	Sr	23	0	2	2	0.0870	0	0	0	0
Christina Redmond	F	Fr	22	1	0	1	0.0455	0	0	0	0
Emily Gryp	D	Fr	27	0	1	1	0.0370	0	0	0	0
Liza Hellar	F	So	1	0	0	0	0.0000	0	0	0	0
Amy Quinlan	G	So	23	0	0	0	0.0000	0	0	0	0
Amy Thomas	G	Fr	18	0	0	0	0.0000	0	0	0	0
