Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Kathleen Smith	D	Sr	36	16	14	30	0.8333	14	36	0	7	0	0
Erin Normore	F/D	Jr	36	3	19	22	0.6111	21	42	2	0	0	1
Mari Pehkonen	F	Jr	31	9	11	20	0.6452	13	26	1	5	0	0
Sarah Feldman	F	Sr	36	8	12	20	0.5556	18	36	0	2	0	0
Alyse Ruff	F	Fr	36	14	5	19	0.5278	14	39	2	4	0	1
Jean O'Neill	F	Fr	36	7	10	17	0.4722	6	12	1	1	1	0
Katy Beach	F	Jr	36	9	6	15	0.4167	27	54	3	0	0	0
Cherie Hendrickson	F	Sr	36	9	6	15	0.4167	6	12	2	2	0	0
Brittany Simpson	D	Jr	36	4	11	15	0.4167	7	14	0	2	0	0
Amber Yung	D	Fr	36	2	13	15	0.4167	7	14	0	0	0	0
Danielle Tangredi	F	Sr	36	9	5	14	0.3889	16	32	3	2	0	1
Rachel Crissy	F	Sr	24	2	11	13	0.5417	13	26	0	0	0	0
Jenna Keilch	F	Sr	35	4	4	8	0.2286	14	28	2	0	0	0
Kelli Doolin	F	Sr	36	2	4	6	0.1667	8	16	0	0	0	0
Pamela McDevitt	F	So	36	2	3	5	0.1389	4	8	0	0	0	0
Colleen Martin	D	So	36	0	4	4	0.1111	8	16	0	0	0	0
Stephanie Morris	F	Jr	36	0	3	3	0.0833	6	12	0	0	0	0
Jackie Duncan	F	So	8	0	2	2	0.2500	1	2	0	0	0	0
Leigh Riley	D	Fr	28	0	1	1	0.0357	2	4	0	0	0	0
Danielle Ciarletta	G	Jr	33	0	0	0	0.0000	0	0	0	0	0	0
Jennifer Smith	G	Fr	6	0	0	0	0.0000	0	0	0	0	0	0
