Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Haley Frade	F	Jr	35	7	18	25	0.7143	3	6	1	2	0	0
Corinne Buie	F	Sr	21	7	17	24	1.1429	14	28	1	5	0	0
Cassidy Carels	F	Fr	35	14	7	21	0.6000	10	20	3	5	0	0
Beth Hanrahan	F	Jr	35	10	10	20	0.5714	5	10	1	5	2	1
Molly Illikainen	F	So	35	6	12	18	0.5143	20	40	0	0	1	0
Lexi Romanchuk	D	So	35	4	13	17	0.4857	14	28	3	1	0	0
Janine Weber	F	Sr	35	6	5	11	0.3143	11	22	1	0	0	0
Brooke Simpson	F	Jr	35	0	11	11	0.3143	1	2	0	0	0	0
Allison Micheletti	F	Jr	35	6	3	9	0.2571	5	10	0	0	1	0
Rebecca Morse	D	Sr	34	3	6	9	0.2647	9	18	0	0	0	0
Maggie Pendleton	D	Sr	31	2	7	9	0.2903	11	22	0	1	0	0
Brittney Thunstrom	F	So	35	2	7	9	0.2571	20	51	1	0	0	0
Courtney Kukowski	F	So	30	3	3	6	0.2000	2	4	0	0	0	0
Liv Halvorson	D/F	Fr	34	1	5	6	0.1765	15	41	0	0	0	0
Stephanie DeMars	F	Sr	35	3	2	5	0.1429	2	4	0	0	0	0
Victoria Virtue	D	Jr	35	2	1	3	0.0857	12	24	0	0	0	0
Lexi Slattery	D	So	18	1	1	2	0.1111	3	6	0	0	0	0
Kendra Goodrich	D/F	Fr	33	0	2	2	0.0606	13	26	0	0	0	0
Allie Morse	G	So	2	0	0	0	0.0000	0	0	0	0	0	0
Sarah Bryant	G	So	32	0	0	0	0.0000	0	0	0	0	0	0
Nina Riley	G	Sr	6	0	0	0	0.0000	0	0	0	0	0	0
Arianna Reid	D/F	Fr	32	0	0	0	0.0000	6	12	0	0	0	0
Ariana Buxman	D	Fr	7	0	0	0	0.0000	0	0	0	0	0	0
