Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Elizabeth Jankowski	F	Jr	32	10	6	16	0.5000	0	3	0	0
Caitlin Peters	F	Fr	32	3	11	14	0.4375	0	0	0	0
Gillian Gallagher	F	Fr	24	6	3	9	0.3750	0	1	1	0
Hillary Bulger	F	Fr	32	3	4	7	0.2188	0	1	0	0
Jayne Riley	D	Fr	32	1	5	6	0.1875	0	0	0	0
Debbie Beaudoin	F/D	Jr	26	2	3	5	0.1923	0	0	0	0
Ashley Berglund	F	Fr	31	3	0	3	0.0968	0	1	0	0
Serena Hillman	F	Jr	9	2	1	3	0.3333	1	1	0	0
Natalie Phelps	F	So	13	1	2	3	0.2308	1	0	0	0
Laura Magenheimer	D	So	31	2	0	2	0.0645	1	0	0	0
Alexandra Poitras	D	Fr	28	1	1	2	0.0714	0	0	0	0
Megan Young	D	Fr	31	0	2	2	0.0645	0	0	0	0
Cara Costantini	F	Fr	32	1	0	1	0.0313	0	0	0	0
Julie Mei	F	So	9	0	1	1	0.1111	0	0	0	0
Meaghan Barnaby	F/D	Fr	30	0	1	1	0.0333	0	0	0	0
Mel Courtemanche	G	Jr	29	0	0	0	0.0000	0	0	0	0
Victoria Castellon	G	Fr	6	0	0	0	0.0000	0	0	0	0
Catherine Laparé	G	Fr	8	0	0	0	0.0000	0	0	0	0
Sarah Silverman	D	So	22	0	0	0	0.0000	0	0	0	0
Ashley Hatch	G	So	1	0	0	0	0.0000	0	0	0	0
