Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Elyse Cole	F	Sr	34	10	9	19	0.5588	21	42	1	8	0	0
Janine Duffy	F	Jr	34	9	8	17	0.5000	23	46	0	2	0	0
Trudy Reyns	D	Sr	34	4	10	14	0.4118	13	26	0	3	0	0
Kallie Flor	F	Jr	34	4	8	12	0.3529	8	16	1	1	0	0
Melissa Perry	D	Fr	34	0	8	8	0.2353	12	24	0	0	0	0
Kelley Davies	F	So	32	4	3	7	0.2188	6	12	1	1	0	0
Chelsea Illchuk	F	Fr	34	5	1	6	0.1765	4	8	0	1	0	0
Kate Wheeler	F	Fr	33	1	3	4	0.1212	5	10	0	0	0	0
Jordan Elkins	D	Fr	34	0	4	4	0.1176	9	18	0	0	0	0
Evelina Husar	D	Jr	34	2	1	3	0.0882	5	10	0	1	0	0
Brandice Moniz	F	So	17	2	1	3	0.1765	7	14	0	1	0	0
Danielle Alexieff	F	Sr	30	0	3	3	0.1000	9	29	0	0	0	0
Stacey Kmill	F	Fr	32	1	1	2	0.0625	7	14	0	0	0	0
Antoinette Maldonado	F	Sr	31	1	1	2	0.0645	12	24	0	0	0	0
Breana Burton	F	Jr	34	1	0	1	0.0294	14	50	0	0	0	0
Erika Bolognino	F	Jr	11	0	1	1	0.0909	4	8	0	0	0	0
Kelsey Britton	D	So	31	0	0	0	0.0000	0	0	0	0	0	0
Nanna Holm-Glaas	G	Jr	21	0	0	0	0.0000	1	2	0	0	0	0
Randi Schock	D	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Tia Wishart	G	So	18	0	0	0	0.0000	0	0	0	0	0	0
Alexa Hynes	G	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Bethany Dymarczyk	D	Fr	34	0	0	0	0.0000	4	8	0	0	0	0
Jane Moss	F/D	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Anny Kallum	F	So	23	0	0	0	0.0000	1	2	0	0	0	0
