Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Andrea Poley	F	Sr	26	18	17	35	1.3462	4	4	2	0
Kate Adams	D	Sr	27	9	24	33	1.2222	1	3	0	0
Deanna Dougherty	F	So	27	15	17	32	1.1852	1	1	0	0
Julie Durham	D	Sr	24	18	13	31	1.2917	3	4	0	0
Katie Woodward	F	So	26	11	9	20	0.7692	2	0	0	0
Christin Sauca	F	Jr	27	8	12	20	0.7407	1	1	0	0
Meredith Langille	F	Fr	27	6	9	15	0.5556	0	0	0	0
Jessica Malec	F	Sr	18	8	6	14	0.7778	0	0	0	0
Lane Dielwart	D	Fr	27	5	9	14	0.5185	0	1	0	0
Maj Nixon	D	So	27	2	11	13	0.4815	0	0	0	0
Paula Durham	F	Fr	24	5	7	12	0.5000	0	0	0	0
Allyn Cooper	D	Fr	27	2	9	11	0.4074	0	1	0	0
Jennifer Janezic	F	Sr	26	5	4	9	0.3462	0	1	0	0
Bridget Rice	F	Fr	27	3	6	9	0.3333	1	0	0	0
Sara Riel	D	Jr	27	1	8	9	0.3333	1	0	0	0
Kristine DeRosa	F	Jr	27	5	3	8	0.2963	0	0	0	0
Jennifer Scammell	D	Sr	25	1	7	8	0.3200	0	0	0	0
Lauren Smith	F	So	27	3	4	7	0.2593	1	0	0	0
Taylor Walker	F/D	Fr	16	3	2	5	0.3125	0	0	0	0
Carolyn Fox	G	Jr	8	0	1	1	0.1250	0	0	0	0
Cory Ivanca	F	Jr	1	0	0	0	0.0000	0	0	0	0
Julie Vallarelli	G	Fr	21	0	0	0	0.0000	0	0	0	0
