Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Whitney Naslund	F	Fr	35	11	17	28	0.8000	2	3	0	0
Allysen Weidner	F	Fr	35	10	11	21	0.6000	3	4	0	0
Jamie-Lynn Stewart	F	So	35	9	11	20	0.5714	1	2	1	1
Brooke Thompson	F	Jr	28	12	7	19	0.6786	2	7	1	0
Sarah Daniel	F	Sr	35	11	7	18	0.5143	0	0	0	0
Allison Wright	F	Fr	35	7	9	16	0.4571	0	1	0	1
Nicole McDonald	F	So	34	7	9	16	0.4706	0	0	0	0
Julie Aho	F	Jr	35	5	7	12	0.3429	3	1	1	0
Emily Donowick	F	So	34	4	6	10	0.2941	0	0	0	0
Laura Gersten	D	Fr	34	3	7	10	0.2941	1	0	0	1
Melanie Guillemette	D	So	35	2	7	9	0.2571	0	1	0	0
Melissa Boik	D	So	34	3	4	7	0.2059	0	2	0	0
Kelly Barbera	D	Jr	35	2	4	6	0.1714	0	2	0	0
Jaime Jacquard-Sowa	F	So	34	2	3	5	0.1471	0	0	0	0
Ellen McNamara	D	Jr	35	0	4	4	0.1143	0	0	0	0
Rossli Chace	F	Fr	32	1	2	3	0.0938	0	0	0	0
Jodi Yaworski	D	Fr	17	2	0	2	0.1176	0	0	0	0
Ciara Libaridian	D	Sr	28	0	2	2	0.0714	0	0	0	0
Laura Menken	D	So	35	0	0	0	0.0000	0	0	0	0
Emily Ford	G	So	5	0	0	0	0.0000	0	0	0	0
Ashley Mayr	G	So	32	0	0	0	0.0000	0	0	0	0
