Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Alexa Gruschow	F	Fr	36	13	14	27	0.7500	18	36	1	5	1	0
Jordan Smelker	F	Jr	36	9	12	21	0.5833	20	51	1	2	0	1
Taylor Horton	F	Sr	36	12	8	20	0.5556	21	42	2	3	2	0
Eleeza Cox	F	So	23	10	7	17	0.7391	14	28	1	3	0	0
Jenn Godin	D	Fr	35	3	12	15	0.4286	14	28	0	1	0	0
Toni Sanders	F	Jr	32	6	4	10	0.3125	2	4	1	2	0	0
Katie Daniels	D	Sr	36	2	8	10	0.2778	13	26	0	1	0	0
Lauren Wash	F	Fr	36	7	2	9	0.2500	8	16	2	1	0	0
Mari Mankey	F	Fr	35	6	3	9	0.2571	4	8	0	1	0	0
Ali Svoboda	F	So	36	2	5	7	0.1944	4	8	1	0	0	0
Taylor Mahoney	F	So	29	3	3	6	0.2069	7	14	1	1	0	0
Kathryn Schilter	D	So	33	0	6	6	0.1818	5	10	0	0	0	0
Andie Le Donne	D	Sr	32	0	6	6	0.1875	13	26	0	0	0	0
Mariana Walsh	F	So	32	1	4	5	0.1563	5	10	0	0	0	0
Madison Marzario	D	Jr	35	0	4	4	0.1143	23	46	0	0	0	0
Brandi Banks	D	Fr	35	0	3	3	0.0857	2	4	0	0	0	0
Missy Mankey	F	Jr	17	1	0	1	0.0588	0	0	0	0	0	0
Kristen Jakubowski	F/D	Sr	3	1	0	1	0.3333	0	0	0	0	0	0
Clare Padmore	F	Sr	11	0	1	1	0.0909	1	2	0	0	0	0
Nona Letuligasenoa	F	Jr	34	0	1	1	0.0294	1	2	0	0	0	0
Delaney Middlebrook	D	So	29	0	1	1	0.0345	3	6	0	0	0	0
Brianna Piper	G	So	6	0	0	0	0.0000	0	0	0	0	0	0
Kelly O'Brien	G	So	34	0	0	0	0.0000	0	0	0	0	0	0
