Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Alysia Park	F	Sr	27	16	14	30	1.1111	4	6	0	0
Jackie Fraser	F	Fr	24	16	12	28	1.1667	2	3	0	0
Kasie Strong	F	Sr	27	10	15	25	0.9259	1	1	0	0
Stacey McConnell	D	So	27	11	12	23	0.8519	0	6	1	0
Isabelle Richard	F	Fr	27	11	9	20	0.7407	4	1	0	0
Kendra Bredlau	F/D	Sr	27	6	14	20	0.7407	0	3	0	0
Becky Jaiven	F	Fr	27	3	10	13	0.4815	0	0	0	0
Sam Boscia	D	Jr	26	2	11	13	0.5000	1	1	1	0
Jessica Prudhomme	D	Fr	26	5	7	12	0.4615	1	2	1	0
Nicole Gedney	F	Jr	25	4	8	12	0.4800	2	0	0	0
Allison Bernstein	F	Fr	27	3	6	9	0.3333	1	0	0	0
Chelsea Johnson	D	Sr	27	0	8	8	0.2963	0	0	0	0
Lindsay Latour	D	So	26	4	2	6	0.2308	0	0	0	0
Sarah Wilson	F	Fr	27	3	2	5	0.1852	1	1	0	0
Julie Romans	D	Sr	21	1	4	5	0.2381	1	0	0	0
Kiersten Shinrock	F/D	Fr	21	0	3	3	0.1429	0	0	0	0
Rachel Chrash	F	Fr	14	2	0	2	0.1429	0	0	0	0
Kaley Ostanek	F/D	Jr	25	1	1	2	0.0800	0	0	0	0
Joey Stoltzfus	F	Jr	21	0	2	2	0.0952	0	0	0	0
Nicki Werner	G	So	14	0	1	1	0.0714	0	0	0	0
Bridget Cleary	F	So	7	0	1	1	0.1429	0	0	0	0
Elizabeth Lynch	F	Fr	2	0	0	0	0.0000	0	0	0	0
Breanna Dobbe	G	Fr	14	0	0	0	0.0000	0	0	0	0
Mariel Marchand	F	Fr	4	0	0	0	0.0000	0	0	0	0
