Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Kourtney Kunichika	F	Fr	29	15	28	43	1.4828	7	14	5	5	1	0
Sarah Dagg	F	Sr	30	18	24	42	1.4000	12	24	1	4	4	2
Katie Stack	F	Sr	30	20	20	40	1.3333	22	55	2	10	0	0
Tenecia Hiller	F	So	30	10	27	37	1.2333	21	42	1	4	0	0
Ariane Yokoyama	F	So	30	3	33	36	1.2000	13	26	1	0	0	0
Kolbee McCrea	F	Fr	28	20	6	26	0.9286	31	78	3	4	2	1
Kim Schlattman	F	So	30	7	19	26	0.8667	12	24	3	4	1	0
Traci Galbraith	D	Sr	30	8	17	25	0.8333	10	20	1	2	0	0
Kristina Moss	D	So	30	5	14	19	0.6333	14	28	0	2	0	0
Erin Zach	F	Fr	25	12	6	18	0.7200	3	6	4	4	2	0
Kylie Mazzetta	F	Sr	30	6	10	16	0.5333	21	45	2	2	0	0
Danielle Read	D	So	29	2	14	16	0.5517	17	34	1	1	0	0
Liz Gemmiti	D	Fr	27	6	8	14	0.5185	9	18	1	3	0	0
Megan Kobar	F	Jr	28	7	5	12	0.4286	8	16	0	0	0	0
Melissa Bromley	D	Fr	30	0	12	12	0.4000	5	10	0	0	0	0
Hannah Epstein	F	Fr	30	7	4	11	0.3667	6	12	0	1	0	1
Ali Hills	F/D	Jr	25	4	6	10	0.4000	6	12	0	0	0	0
Ellesha Fortuna	D	So	23	1	3	4	0.1739	6	12	0	0	0	0
Traci Judge	F	So	8	1	0	1	0.1250	0	0	1	0	0	0
Laura Chamberlain	G	Fr	22	0	0	0	0.0000	0	0	0	0	0	0
Carley King	G	So	9	0	0	0	0.0000	0	0	0	0	0	0
Jamie Parhar	D/F	Jr	13	0	0	0	0.0000	2	4	0	0	0	0
