Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Morgan Beikirch	F	Fr	31	8	8	16	0.5161	1	1	1	0
Kathryn Traynor	F	Fr	31	10	5	15	0.4839	1	4	2	1
Kristen Miles	F	Fr	23	8	3	11	0.4783	1	4	0	0
Samantha Ullrich	D	Fr	31	2	7	9	0.2903	1	1	0	0
Ali Proodian	F	Fr	30	5	3	8	0.2667	1	1	2	0
Jamie Ferrentino	F	Fr	31	2	5	7	0.2258	0	0	1	0
Alissa Dorman	F	Fr	31	2	3	5	0.1613	0	1	0	0
Megan Picinic	F	Fr	31	2	2	4	0.1290	0	0	2	0
Laura White	D	Fr	31	0	4	4	0.1290	0	0	0	0
Vanessa Zwegers	F	Fr	31	2	1	3	0.0968	0	0	0	0
Angela Kost	F	Fr	31	0	2	2	0.0645	0	0	0	0
Ashley Barnett	D	Fr	27	0	2	2	0.0741	0	0	0	0
Jenny Monteleone	D	Fr	31	0	2	2	0.0645	0	0	0	0
Nicole Zynda	D	Fr	30	0	1	1	0.0333	0	0	0	0
Brianne McLaughlin	G	Fr	30	0	0	0	0.0000	0	0	0	0
Quinn Caggiula	G	Fr	3	0	0	0	0.0000	0	0	0	0
