Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Kristen Miles	F	So	35	15	9	24	0.6857	1	3	0	0
Alissa Dorman	F	So	35	13	10	23	0.6571	1	3	0	0
Morgan Beikirch	F	So	35	11	12	23	0.6571	2	4	1	0
Megan Picinic	F	So	35	11	11	22	0.6286	2	6	0	0
Maria Olausson	F	Jr	33	3	18	21	0.6364	0	1	0	0
Chelsea Walkland	F	Fr	35	5	9	14	0.4000	1	3	0	1
Jordan Riley	F	Fr	35	4	7	11	0.3143	1	1	1	0
Mallory Giambra	D	Fr	35	2	9	11	0.3143	0	2	0	0
Jessica Riley	F	Fr	35	5	5	10	0.2857	2	1	0	0
Samantha Ullrich	D	So	34	1	8	9	0.2647	0	0	0	1
Jacki Gibson	D	Fr	35	1	8	9	0.2571	0	0	0	0
Kathryn Traynor	F	So	23	3	5	8	0.3478	0	2	0	0
Ali Proodian	F	So	17	2	5	7	0.4118	1	0	0	0
Laura White	D	So	34	1	4	5	0.1471	0	0	0	0
Angela Kost	F	So	35	2	0	2	0.0571	0	1	0	0
Amanda Cianculli	F	Fr	7	1	1	2	0.2857	0	0	0	0
Vanessa Zwegers	F	So	32	0	2	2	0.0625	0	0	0	0
Nicole Zynda	D	So	8	0	1	1	0.1250	0	0	0	0
Ashley Barnett	D	So	12	0	1	1	0.0833	0	0	0	0
Brianne McLaughlin	G	So	27	0	0	0	0.0000	0	0	0	0
Megan Dovell	F/D	Fr	22	0	0	0	0.0000	0	0	0	0
Heather Rossi	G	Fr	11	0	0	0	0.0000	0	0	0	0
Jenny Monteleone	D	So	4	0	0	0	0.0000	0	0	0	0
