Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Morgan Beikirch	F	Jr	35	5	13	18	0.5143	12	24	0	1	0	0
Sara O'Malley	F	Fr	35	11	6	17	0.4857	3	6	3	5	1	0
Kristen Miles	F	Jr	29	9	7	16	0.5517	9	18	0	5	0	0
Maria Stoa	F	Fr	31	4	12	16	0.5161	8	16	0	1	0	0
Mallory Giambra	D	So	35	4	12	16	0.4571	11	22	2	3	0	0
Kylie Rossler	F	Fr	30	7	8	15	0.5000	20	40	1	1	0	0
Megan Picinic	F	Jr	34	7	8	15	0.4412	13	26	3	3	1	0
Jacki Gibson	D	So	35	3	11	14	0.4000	8	16	0	1	0	0
Alissa Dorman	F	Jr	35	7	5	12	0.3429	17	34	2	2	0	0
Samantha Ullrich	D	Jr	33	2	9	11	0.3333	16	32	0	0	0	0
Kathryn Traynor	F	Jr	29	6	4	10	0.3448	4	8	0	1	0	1
Maria Olausson	F	Sr	30	2	6	8	0.2667	5	10	0	0	0	0
Jessica Riley	F	So	34	3	4	7	0.2059	19	38	0	2	0	0
Whitney Pappas	D	Fr	35	1	6	7	0.2000	2	4	0	0	0	0
Ali Proodian	F	Jr	27	3	2	5	0.1852	20	40	1	0	0	0
Jenny Monteleone	D	Jr	35	0	5	5	0.1429	21	42	0	0	0	0
Chelsea Walkland	F	So	34	2	2	4	0.1176	6	12	0	0	0	0
Jordan Riley	F	So	24	2	2	4	0.1667	6	20	0	0	1	0
Brianne McLaughlin	G	Jr	32	0	1	1	0.0313	1	2	0	0	0	0
Vanessa Zwegers	F	Jr	1	0	0	0	0.0000	0	0	0	0	0	0
Angela Kost	F	Jr	17	0	0	0	0.0000	1	2	0	0	0	0
Daneca Butterfield	G	Fr	6	0	0	0	0.0000	0	0	0	0	0	0
Dy-anna Stewart	D	Fr	29	0	0	0	0.0000	2	4	0	0	0	0
