Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Brittany Howard	F	Sr	35	20	30	50	1.4286	26	52	3	8	0	0
Jaycee Gebhard	F	Fr	35	22	24	46	1.3143	8	16	3	9	0	2
Amber Rennie	F	So	35	9	15	24	0.6857	4	8	1	2	0	0
Kirsten Welsh	D	So	35	9	14	23	0.6571	30	71	2	4	0	0
Maggie Lague	D	So	35	3	19	22	0.6286	15	30	0	2	0	0
Amanda Pantaleo	F	Jr	35	11	7	18	0.5143	8	16	3	1	1	1
Katherine Murphy	D	Jr	34	1	17	18	0.5294	3	6	1	0	0	0
Maeve Garvey	F	Sr	35	9	8	17	0.4857	14	28	3	4	0	2
Jessica Gazzola	F	Jr	35	7	10	17	0.4857	16	32	4	1	0	0
Mikaela Lowater	D	Sr	35	2	10	12	0.3429	8	16	1	0	0	1
Aneta Lédlová	F	Fr	29	4	4	8	0.2759	9	18	0	0	0	0
Rikki Meilleur	F	Sr	31	5	2	7	0.2258	8	16	2	0	0	0
Mackenzie Johnston	F	Sr	25	1	5	6	0.2400	8	16	1	0	0	0
Leah Carey	D	Jr	35	0	5	5	0.1429	5	10	0	0	0	0
Natalie Fraser	D	Jr	35	1	3	4	0.1143	11	22	0	0	0	0
Natalie Marcuzzi	F	Fr	34	1	2	3	0.0882	4	8	0	0	0	0
Sarah Quaranta	F	So	35	0	3	3	0.0857	7	14	0	0	0	0
Aneta Lédlová	F	Fr	2	1	0	1	0.5000	1	2	0	0	0	0
Jessica Dodds	G	Sr	24	0	1	1	0.0417	0	0	0	0	0	0
Emma Low-A-Chee	F	Fr	20	0	0	0	0.0000	2	4	0	0	0	0
Lauren Bailey	G	So	11	0	0	0	0.0000	1	2	0	0	0	0
Victoria Harshman	F	So	28	0	0	0	0.0000	2	4	0	0	0	0
Elijah Milne-Price	G	Jr	1	0	0	0	0.0000	0	0	0	0	0	0
