Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Michelle Panella	F	So	25	29	13	42	1.6800	3	4	3	0
Shannon Murphy	F	Fr	24	7	13	20	0.8333	2	2	0	0
Katie McLaughlin	F	Fr	26	10	9	19	0.7308	2	3	0	0
Sarah Turbert	F	Jr	26	8	9	17	0.6538	0	3	0	0
Devon Gaslin	D	Fr	26	2	11	13	0.5000	0	0	0	0
Jessica Felt	F	Jr	24	9	3	12	0.5000	2	4	0	0
Rachel Mroz	D	Fr	25	0	6	6	0.2400	0	0	0	0
Nicole Farrelly	D	Jr	23	2	3	5	0.2174	0	0	0	0
Sarah Hickman	F	Fr	17	3	1	4	0.2353	0	1	0	0
Karly Schulte	F	Fr	18	1	3	4	0.2222	0	1	0	0
Erin Barry	F	So	26	1	3	4	0.1538	0	1	0	0
Jane Auxier	D	Jr	26	0	4	4	0.1538	0	0	0	0
Erin Guertin	F	So	24	2	1	3	0.1250	1	0	0	0
Laura Faulk	F	Fr	26	2	1	3	0.1154	0	0	0	0
Ashliegh Nyborg	D	Jr	17	0	3	3	0.1765	0	0	0	0
Kathleen Cummings	F	So	21	0	2	2	0.0952	0	0	0	0
Stephanie Boulay	G	So	22	0	1	1	0.0455	0	0	0	0
Juliana Wynohranyk	D	Fr	19	0	1	1	0.0526	0	0	0	0
Kathryn Preston	F	Jr	1	0	0	0	0.0000	0	0	0	0
Alexandra Dellarco	F	Fr	1	0	0	0	0.0000	0	0	0	0
Stephanie Dunn	F	Fr	2	0	0	0	0.0000	0	0	0	0
Kristina DeRita	F	Sr	7	0	0	0	0.0000	0	0	0	0
Nia Chadbourne	F	Fr	1	0	0	0	0.0000	0	0	0	0
Sarah Perry	G	Fr	7	0	0	0	0.0000	0	0	0	0
Tamara Flanagan	F	Sr	8	0	0	0	0.0000	0	0	0	0
Erika Sawyer	D	Fr	15	0	0	0	0.0000	0	0	0	0
Leslie Blair	F	Fr	7	0	0	0	0.0000	0	0	0	0
