Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Gina Arnone	RW	Sr	31	24	16	40	1.2903	22	60	3	5	1	1
Lauren Fontaine	F	So	30	19	17	36	1.2000	23	46	3	5	4	0
Whitney Dziama	F	Sr	31	9	19	28	0.9032	17	34	0	0	0	0
Taryn Lapierre	F	So	31	7	14	21	0.6774	16	32	2	1	0	1
Kate Dunlop	F	Jr	28	9	9	18	0.6429	7	14	0	3	0	0
Nicole Palazzo	D	Fr	31	4	13	17	0.5484	24	59	1	3	0	0
Jaclyn Rideout	F	Sr	29	8	7	15	0.5172	4	8	1	1	0	0
Brittany Hartman	F	So	31	2	8	10	0.3226	14	28	1	0	0	0
Kristina Hankins	F	So	28	4	5	9	0.3214	6	12	0	0	0	1
Caitlin Gottwald	D	Fr	31	4	3	7	0.2258	29	58	1	1	0	0
Tara Kent	F	Fr	28	3	4	7	0.2500	4	8	0	0	0	0
Kristina Feltz	D	Sr	31	2	5	7	0.2258	8	16	0	0	0	0
Allie Gillman	F	Sr	31	2	3	5	0.1613	3	6	0	1	0	0
Jamie Mey	D	Fr	31	2	2	4	0.1290	4	8	1	0	0	0
Lauren Towers	F	Fr	6	1	1	2	0.3333	1	2	0	0	0	0
Jennifer Burroughs	D	Fr	29	0	1	1	0.0345	10	20	0	0	0	0
Jackie Galvin	F	So	31	0	1	1	0.0323	3	6	0	0	0	0
Tatiana Klinoff	F	So	29	0	1	1	0.0345	1	2	0	0	0	0
Raelene Sydor	G	Fr	7	0	0	0	0.0000	0	0	0	0	0	0
Sara Reddington	F	Fr	22	0	0	0	0.0000	1	2	0	0	0	0
Alysha Arnold	F	Fr	13	0	0	0	0.0000	0	0	0	0	0	0
Erin Burke	F	Fr	2	0	0	0	0.0000	0	0	0	0	0	0
Maria Lascala	C	Sr	2	0	0	0	0.0000	0	0	0	0	0	0
Amanda Nagel	G	Fr	31	0	0	0	0.0000	1	2	0	0	0	0
