Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Casey Stathopoulos	F	Jr	25	7	9	16	0.6400	7	14	0	3	0	0
Melissa Robbins	F	Jr	19	5	2	7	0.3684	8	16	0	3	2	0
Natasha Klinoff	F	Jr	17	4	3	7	0.4118	1	2	0	0	0	0
Hanna Skelley	F	So	24	5	1	6	0.2500	2	4	1	0	0	0
Catie Ladner	D	Sr	25	2	4	6	0.2400	7	14	0	2	0	0
Jennie Robinson	D	Sr	25	0	6	6	0.2400	15	30	0	0	0	0
Amie Varano	D	Fr	25	3	2	5	0.2000	8	16	0	0	0	0
Alex Davis	F/D	Jr	21	2	3	5	0.2381	11	22	0	0	0	0
Sara Hanna	F	Sr	18	1	4	5	0.2778	5	10	0	0	0	0
Heather Daley	F	So	24	3	1	4	0.1667	2	4	1	1	0	0
Alanna Woodford	F	Jr	25	2	2	4	0.1600	9	18	0	1	0	0
Megan Ofner	D	So	25	0	4	4	0.1600	9	18	0	0	0	0
Emily Falvey	F	Fr	24	2	1	3	0.1250	4	8	0	0	0	0
Whitney Henderson	F	Jr	24	1	2	3	0.1250	3	6	0	0	0	0
Cara Curran	F	Jr	23	2	0	2	0.0870	3	6	1	1	0	0
Erin Marley	F	Sr	8	1	1	2	0.2500	1	2	0	0	0	0
Briana Connolly	F	Jr	18	0	2	2	0.1111	1	2	0	0	0	0
Megan Finlay	F	Fr	24	0	2	2	0.0833	4	8	0	0	0	0
Julie Dobiac	D	So	25	0	1	1	0.0400	3	6	0	0	0	0
Cassandra Briffett	F	Sr	3	0	0	0	0.0000	0	0	0	0	0	0
Alexius Schutt	G	Sr	17	0	0	0	0.0000	0	0	0	0	0	0
Nicole Giampa	F	Fr	11	0	0	0	0.0000	1	2	0	0	0	0
Mandy Montgomery	G	Sr	6	0	0	0	0.0000	0	0	0	0	0	0
Nicole Magee	G	So	5	0	0	0	0.0000	0	0	0	0	0	0
Teagan Ketchum	D	Fr	16	0	0	0	0.0000	2	4	0	0	0	0
Amanda Fontaine	G	So	4	0	0	0	0.0000	0	0	0	0	0	0
