Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Amanda Giles	F	Fr	23	5	2	7	0.3043	10	28	1	3	0	0
Kerryann Goode	F	Fr	23	3	2	5	0.2174	3	6	1	1	0	0
Kayla Kopinski	D	Fr	21	2	3	5	0.2381	8	16	0	1	0	0
Madison Black	F	Fr	23	1	4	5	0.2174	12	24	1	0	0	0
Ally Webster	F	Fr	23	3	1	4	0.1739	5	10	0	1	0	0
Danielle Kelley	F	Jr	22	3	1	4	0.1818	17	34	0	1	0	0
Julia Dares	F	Fr	23	1	3	4	0.1739	5	10	0	1	0	0
Sara Walsh	D	Sr	23	1	2	3	0.1304	8	16	0	0	0	0
Jacqueline Sindoris	F	So	19	1	2	3	0.1579	11	22	0	1	0	0
Kylie Currier	F	Fr	22	1	2	3	0.1364	9	18	0	1	0	0
Catherine Salvetti	D	Jr	22	1	2	3	0.1364	11	22	0	0	0	0
Rose Sullivan	F	Fr	19	1	1	2	0.1053	8	16	0	0	0	0
Sammy Williams	F	Fr	17	1	1	2	0.1176	6	12	1	0	0	0
Madison Kingston	D	Jr	10	0	2	2	0.2000	2	4	0	0	0	0
Caroline McKinnon	F	So	22	0	2	2	0.0909	12	35	0	0	0	0
Courtney Smith	F	Jr	19	0	2	2	0.1053	9	18	0	0	0	0
Casie Curtin	F	Fr	17	0	1	1	0.0588	3	6	0	0	0	0
Siobhan Murtagh	F	Fr	6	0	0	0	0.0000	3	6	0	0	0	0
Marissa Peri	F	Sr	14	0	0	0	0.0000	1	2	0	0	0	0
Karlie McLear	F	Fr	8	0	0	0	0.0000	1	2	0	0	0	0
Dara Clowser	F	So	7	0	0	0	0.0000	2	4	0	0	0	0
Alexandria Gong	D	Sr	23	0	0	0	0.0000	0	0	0	0	0	0
Molly Millett	G	Jr	2	0	0	0	0.0000	0	0	0	0	0	0
Sarah Plourde	G	Fr	17	0	0	0	0.0000	1	2	0	0	0	0
Katherine Crane	G	So	8	0	0	0	0.0000	0	0	0	0	0	0
Calie Richman	G	Fr	5	0	0	0	0.0000	0	0	0	0	0	0
