Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Caitlin Campbell	F	Fr	21	12	7	19	0.9048	0	3	0	0
Mariel Guay	F	Fr	21	5	13	18	0.8571	0	1	0	0
Aimee Provencher	D	So	21	12	3	15	0.7143	2	0	0	0
Ashley Coffin	F	Fr	17	4	10	14	0.8235	0	0	0	1
Jillian Donnelly	F	Fr	17	4	5	9	0.5294	0	1	0	0
Corrie van Reuth	F	Jr	10	4	5	9	0.9000	1	1	1	0
Kaitlyn Farrell	D	So	19	3	6	9	0.4737	0	1	1	0
Shannon Ryan	D	Sr	21	1	8	9	0.4286	0	0	0	0
Whitney Hossfeld	D	Fr	20	3	3	6	0.3000	0	0	0	0
Jennifer Corcoran	F	Fr	19	1	4	5	0.2632	1	0	0	0
Steffi Carrell	D	Fr	21	0	3	3	0.1429	0	0	0	0
Jenna Carreiro	D	Fr	21	0	3	3	0.1429	0	0	0	0
Amy Simard	G	Fr	12	1	1	2	0.1667	0	0	0	0
Nora Connolly	F	Sr	7	0	2	2	0.2857	0	0	0	0
Michelle Chabot	G	Fr	16	0	1	1	0.0625	0	0	0	0
Renee Larosee	F	Jr	17	0	1	1	0.0588	0	0	0	0
Andie Solemina	G	Fr	1	0	0	0	0.0000	0	0	0	0
Tamsin Gosselin	G	Fr	13	0	0	0	0.0000	0	0	0	0
