Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Danielle Phalon	F	So	27	11	18	29	1.0741	6	12	1	1	0	0
Michaela Chiuccariello	F	Jr	27	14	12	26	0.9630	11	22	1	5	0	0
Sarah Markey	F	Jr	27	12	13	25	0.9259	14	28	3	7	0	1
Taylor Shepherd	F	Jr	27	11	12	23	0.8519	9	18	4	3	1	0
Amanda Cronin	D	Fr	27	6	10	16	0.5926	1	2	1	2	0	0
Michelle Holmes	F	Fr	26	8	7	15	0.5769	1	2	1	1	1	0
Shelby Johnson	F	So	27	6	9	15	0.5556	10	20	1	2	0	0
Kayla Smith	F	Fr	26	5	6	11	0.4231	3	6	0	1	0	0
Monika Borkowski	D	Sr	26	1	8	9	0.3462	19	38	1	0	0	0
Shannon Coleman	D	Sr	27	5	3	8	0.2963	3	6	2	2	0	0
Cheyenne Boyd	F	So	20	4	4	8	0.4000	2	4	1	0	0	0
Molly O'Sullivan	F	So	26	3	2	5	0.1923	9	18	0	0	0	0
Kimberly Spring	F	So	27	2	3	5	0.1852	11	22	0	0	0	0
Britani Dunbar	F	So	26	1	0	1	0.0385	9	18	0	0	0	0
Natalia Madryga	F	Sr	27	0	1	1	0.0370	8	16	0	0	0	0
Mariah Mosher	G	So	10	0	0	0	0.0000	0	0	0	0	0	0
Alexi Press	D	Fr	2	0	0	0	0.0000	0	0	0	0	0	0
Nicole Grosser	G	Fr	6	0	0	0	0.0000	0	0	0	0	0	0
Colleen Marcik	G	Fr	22	0	0	0	0.0000	0	0	0	0	0	0
