Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Megan Irving	F	Fr	26	5	11	16	0.6154	1	3	0	0
Katie Quartuccio	D	So	26	9	6	15	0.5769	1	3	0	0
Amy McNally	F	So	26	8	6	14	0.5385	0	4	0	0
Kelly Connors	F	Jr	26	6	8	14	0.5385	1	1	0	0
Meaghan Barnaby	F	Sr	26	3	5	8	0.3077	0	1	0	0
Lauren Pierce	F	Jr	26	3	4	7	0.2692	0	0	0	0
Caitlin Tassone	D	Jr	26	4	2	6	0.2308	1	0	0	0
Kristin Pappolla	F	Jr	22	3	3	6	0.2727	1	1	0	0
Caitlin Cashman	D	Sr	26	2	4	6	0.2308	1	1	0	0
Lindsay Herzog	F	So	22	2	3	5	0.2273	0	0	1	0
Jennifer Cordone	D	Jr	26	2	3	5	0.1923	0	0	0	0
Jessica Broccoli	D	Jr	26	1	3	4	0.1538	0	1	0	0
Jenna Wasylak	D	Jr	22	0	4	4	0.1818	0	0	0	0
Jen Amell	F	Fr	16	1	2	3	0.1875	0	1	0	0
Stephanie King	D	Fr	26	0	3	3	0.1154	0	0	0	0
Casey Deck	F	Fr	2	0	0	0	0.0000	0	0	0	0
Miranda Coffey	F	So	25	0	0	0	0.0000	0	0	0	0
Emily Barrett	G	Fr	7	0	0	0	0.0000	0	0	0	0
Regina Wilson	D	Fr	21	0	0	0	0.0000	0	0	0	0
Shannon Keane	F	Fr	11	0	0	0	0.0000	0	0	0	0
Jen Arno	G	Jr	20	0	0	0	0.0000	0	0	0	0
