Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Kailey Bubier	F	Sr	27	11	5	16	0.5926	22	44	1	1	1	0
Cassandra Sherman	F	Fr	27	7	5	12	0.4444	6	12	2	0	2	0
Julia Pearl	F/D	So	27	5	7	12	0.4444	27	54	1	0	2	0
Erin Banfield	F	Jr	26	8	3	11	0.4231	6	12	1	4	1	0
Brittany Soar	F	Jr	25	4	6	10	0.4000	9	18	3	0	0	0
Katie Davis	D	Sr	26	2	6	8	0.3077	15	30	0	1	0	0
Maggie Lane	F	So	26	5	1	6	0.2308	7	14	0	2	0	0
Alex Smith	D	Sr	25	0	6	6	0.2400	15	30	0	0	0	0
Talya Bent	F/D	So	26	1	4	5	0.1923	7	14	0	0	0	0
Kaleigh Heath	D	Fr	25	0	5	5	0.2000	7	14	0	0	0	0
Bridget O'Brien	F	Jr	27	0	5	5	0.1852	7	14	0	0	0	0
Sarah Timmons	F	Fr	9	3	1	4	0.4444	2	4	0	0	0	0
Shannon Cronin	D	Jr	25	0	4	4	0.1600	12	24	0	0	0	0
Ashley Grenier	F	Sr	26	0	3	3	0.1154	1	2	0	0	0	0
Katelyn Ladd	D	So	5	1	1	2	0.4000	0	0	0	0	0	0
Jackie Lacroix	D	Jr	25	0	2	2	0.0800	1	2	0	0	0	0
Liz Bergstrom	G	So	21	0	0	0	0.0000	0	0	0	0	0	0
Jenn Fuller	G	Fr	9	0	0	0	0.0000	0	0	0	0	0	0
