Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Danielle Campbell	F	Jr	24	14	11	25	1.0417	3	5	0	0
Cindy Lebel	F	Fr	25	9	7	16	0.6400	2	4	0	0
Emily Lapworth	D	Jr	24	6	8	14	0.5833	2	1	0	0
Brittany Kretzman	F	Fr	25	3	11	14	0.5600	1	3	0	0
Arden Lyons	F/D	Fr	25	8	5	13	0.5200	1	1	0	0
Tiea Kurlowecz	F	Fr	25	4	9	13	0.5200	0	2	0	0
Moraghan McKenna	F	Fr	25	6	6	12	0.4800	1	2	0	0
Rachel Cooke	F	Fr	24	5	7	12	0.5000	2	2	0	0
Aislinn Doherty	F	Fr	23	5	5	10	0.4348	1	0	0	0
Bevin Padgett	F	So	21	2	8	10	0.4762	1	1	0	0
Melissa Jubinville	D	So	16	4	5	9	0.5625	0	1	0	0
Meriah Magri	F	Fr	21	2	7	9	0.4286	0	0	0	0
Lindsay Snow	D	Fr	24	7	1	8	0.3333	3	3	0	0
Mollie Welch	D	Fr	25	3	4	7	0.2800	1	0	0	0
Shellie Swan	F	Fr	25	1	5	6	0.2400	1	0	0	0
Ingrid Mintautas	F	Fr	24	2	3	5	0.2083	1	1	0	0
Kelsey Hunt	F	Fr	24	4	0	4	0.1667	1	0	0	0
Kaira Ellis	G	Fr	2	0	0	0	0.0000	0	0	0	0
Olivia Nuzzo	G	Fr	5	0	0	0	0.0000	0	0	0	0
Janine Darling	F	Fr	14	0	0	0	0.0000	0	0	0	0
Julia Messing	D	Fr	10	0	0	0	0.0000	0	0	0	0
Andrea Berlin	G	Fr	20	0	0	0	0.0000	0	0	0	0
Jessica Tobin	D	Fr	22	0	0	0	0.0000	0	0	0	0
Jenna Brown	D	Fr	2	0	0	0	0.0000	0	0	0	0
