Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Alison Butler	F	Sr	27	11	28	39	1.4444	4	8	2	6	0	0
Alex Starzyk	F	Sr	25	18	18	36	1.4400	13	29	1	7	0	1
Kaitlyn Spillane	F	Jr	27	16	18	34	1.2593	16	43	4	7	0	0
Maura Kieft	F	So	27	14	19	33	1.2222	3	6	2	6	0	0
Martha Findley	D	Sr	27	7	23	30	1.1111	11	22	1	3	0	0
Alison Quinn	F	Sr	27	10	19	29	1.0741	8	16	1	4	0	0
Sara McNamara	F	So	25	11	10	21	0.8400	3	6	4	1	0	0
Megan Klaus	D	Fr	27	4	12	16	0.5926	8	16	1	2	0	0
Victoria Shea	F	Sr	27	8	7	15	0.5556	4	8	1	0	0	0
Meaghan Spurling	D	Sr	27	2	13	15	0.5556	18	36	0	0	0	0
Jackie Guy	D	Jr	27	3	11	14	0.5185	11	22	1	1	0	0
Amanda Conger	F	Fr	26	7	6	13	0.5000	1	2	1	0	1	1
Ashley Moran	F	Jr	27	7	6	13	0.4815	4	8	1	0	1	0
Kaley Campbell	F	Fr	27	5	5	10	0.3704	2	4	0	0	0	0
Caley Mueller	F	So	25	3	7	10	0.4000	2	4	2	1	0	0
Paige Gorecki	F	Jr	25	4	2	6	0.2400	0	0	0	0	0	0
Mary Morrison	D	Fr	18	2	2	4	0.2222	0	0	0	0	0	0
Samantha Boyer	D	Jr	27	0	3	3	0.1111	3	6	0	0	0	0
Jamie Gottwald	F	Fr	5	0	2	2	0.4000	0	0	0	0	0	0
Savanna Poole	D	Sr	11	0	2	2	0.1818	1	2	0	0	0	0
Maddie Scavotto	G	So	20	0	0	0	0.0000	0	0	0	0	0	0
Hannah Synnott	G	Sr	6	0	0	0	0.0000	0	0	0	0	0	0
Haley Marshall	D	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Leigh Farquhar	D	So	1	0	0	0	0.0000	4	8	0	0	0	0
Michaela Kane	G	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
