Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Erin Baldwin	F	Sr	24	12	6	18	0.7500	1	6	0	0
Stephanie Kendrick	F/D	So	24	4	6	10	0.4167	0	1	0	0
Sarah Horlitz	D	Sr	24	4	6	10	0.4167	0	4	0	0
Sarah Wilson	F	Sr	24	5	4	9	0.3750	0	1	0	0
Patty King	F	So	24	3	6	9	0.3750	0	0	0	0
Stephanie Gassert	D	Sr	24	1	7	8	0.3333	0	1	0	0
Ashley Davenport	F	Jr	24	4	3	7	0.2917	0	3	0	0
Amanda Trusty	F	Jr	21	1	4	5	0.2381	0	0	0	0
Maggie Kinney	D	Jr	14	1	4	5	0.3571	0	1	0	0
Janae Coauette	F	Fr	20	3	1	4	0.2000	1	1	0	0
Andrea Selby	F	So	23	2	2	4	0.1739	0	0	0	0
Abby Milton	F	So	24	1	2	3	0.1250	0	0	0	0
Jackie Hoeft	F	Jr	24	1	2	3	0.1250	0	0	0	0
Michelle Eberhard	F	Fr	21	1	1	2	0.0952	0	0	0	0
Emily Jensen	F	Sr	24	0	1	1	0.0417	0	0	0	0
Neva Widner	F	Fr	21	0	1	1	0.0476	0	0	0	0
Erika Hartel	G	Fr	11	0	0	0	0.0000	0	0	0	0
Sarah Zweber	G	So	15	0	0	0	0.0000	0	0	0	0
Rachel Bulman	F	Jr	22	0	0	0	0.0000	0	0	0	0
CJ Swanlund	F	Fr	2	0	0	0	0.0000	0	0	0	0
Brittany Peters	F	Fr	20	0	0	0	0.0000	0	0	0	0
Abby Kephart	D	Fr	17	0	0	0	0.0000	0	0	0	0
