Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Brigette Miller	F	So	25	9	8	17	0.6800	3	6	1	3	0	0
Elli Marvin	F	Jr	25	11	4	15	0.6000	6	12	3	2	0	0
Allison Kirk	F	Jr	20	3	4	7	0.3500	5	10	1	1	0	0
Maddie Rainey	D	Jr	25	3	3	6	0.2400	5	10	1	0	0	0
Alyssa Hoffman	F	Sr	23	3	2	5	0.2174	2	4	0	0	1	0
Elizabeth Hermes	F	Sr	25	2	3	5	0.2000	6	12	1	0	0	1
Stephanie Kirk	F	Jr	10	2	2	4	0.4000	4	8	0	1	0	0
Maddie Dockry	F	Fr	21	1	3	4	0.1905	9	18	0	0	0	0
Kimberly Patterson	F	So	23	2	1	3	0.1304	8	16	0	0	0	0
Kylie Eklund	D	Fr	25	2	1	3	0.1200	5	10	0	0	0	0
Siri Berg-Moberg	F/D	Sr	25	1	2	3	0.1200	9	18	0	0	0	0
Hannah Esselman	D	Jr	17	0	3	3	0.1765	3	6	0	0	0	0
Shelby Schneider	F	Fr	25	1	1	2	0.0800	7	14	0	0	0	0
Katie Cristan	D	Jr	24	0	2	2	0.0833	4	8	0	0	0	0
Natalie Roberts	F	So	21	1	0	1	0.0476	2	4	0	0	0	0
Kacee Medved	D	Jr	19	1	0	1	0.0526	3	6	0	0	0	0
Jessica Malloy	F	Fr	25	0	1	1	0.0400	11	22	0	0	0	0
Dory Johnson	G	Sr	10	0	0	0	0.0000	0	0	0	0	0	0
Beth Hinkemeyer	D	Jr	10	0	0	0	0.0000	0	0	0	0	0	0
Kennedy Hageness	F	So	13	0	0	0	0.0000	0	0	0	0	0	0
Veronica Sinell	G	So	1	0	0	0	0.0000	0	0	0	0	0	0
Kaitlyn Miller	F	So	21	0	0	0	0.0000	4	8	0	0	0	0
Angel Hillstrom	G	Fr	17	0	0	0	0.0000	0	0	0	0	0	0
Mariah Reed	F	Fr	7	0	0	0	0.0000	0	0	0	0	0	0
Alexis Klatt	D	So	21	0	0	0	0.0000	4	8	0	0	0	0
