Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Angela M Johnson	D	So	23	7	4	11	0.4783	0	0	0	0
Megan Mumm	F	Fr	23	6	4	10	0.4348	1	2	0	0
Laurel Volenec	F/D	Jr	23	5	3	8	0.3478	0	3	0	0
Kaycee Veenis	F	So	23	3	4	7	0.3043	0	1	0	0
Danelle Bode	F	Fr	23	2	4	6	0.2609	0	2	0	0
Angie Carstenbrock	F	Sr	23	4	0	4	0.1739	1	3	0	0
Nichole Hottinger	F/D	Jr	23	2	2	4	0.1739	0	1	0	0
Sarah Stieve	D	Fr	22	0	4	4	0.1818	0	0	0	0
Alyssa Evenson	F	So	19	1	2	3	0.1579	0	0	0	0
Michelle Bazzanella	F	So	23	0	3	3	0.1304	0	0	0	0
Tera Burley	F	Fr	22	1	0	1	0.0455	0	0	0	0
Davin Boesinger	F	Sr	21	1	0	1	0.0476	0	0	0	0
Maggie Duff	F	Fr	9	0	1	1	0.1111	0	0	0	0
Jenna Kane	F/D	Jr	22	0	1	1	0.0455	0	0	0	0
Jasey Porter	F	So	8	0	0	0	0.0000	0	0	0	0
Jenny Nevelin	G	So	9	0	0	0	0.0000	0	0	0	0
Morgan Kane	G	Jr	17	0	0	0	0.0000	0	0	0	0
Angela F Johnson	F	So	9	0	0	0	0.0000	0	0	0	0
