Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Michaela Michaelson	F	Sr	24	14	13	27	1.1250	17	34	2	3	0	0
Meghan Lange	D	Sr	24	6	17	23	0.9583	13	26	1	3	0	0
Kelsey Abrahamson	C	Jr	24	11	3	14	0.5833	16	32	3	3	1	0
Cassie Rooney	F	Jr	24	4	8	12	0.5000	15	30	0	1	0	1
Kayla Clafton	D	Jr	24	3	8	11	0.4583	3	6	2	3	0	0
Jessica Feltes	D	Sr	24	4	4	8	0.3333	4	8	0	0	1	0
Katie Lawler	D	Sr	24	3	5	8	0.3333	12	24	0	2	0	0
Ashley Tilton	F	So	23	3	4	7	0.3043	6	12	0	1	0	0
Ashley Grell	F	So	24	3	4	7	0.2917	1	2	1	0	0	0
Rachael Gasperetti	F	So	24	1	6	7	0.2917	2	4	0	0	0	0
Bridget Braastad	D	Jr	24	2	4	6	0.2500	15	30	0	1	0	0
Becky Clifton	D	So	24	3	2	5	0.2083	3	6	0	2	0	0
Liz Bauer	C	Jr	24	2	3	5	0.2083	0	0	1	1	0	0
Megan Boehmer	F	Sr	23	3	1	4	0.1739	0	0	1	0	0	0
Nicki Mosbeck	F	Fr	24	2	2	4	0.1667	3	6	0	1	0	0
Cassie Vennemann	F	So	24	1	2	3	0.1250	3	6	0	0	0	0
Katie Jirik	D	Fr	24	1	2	3	0.1250	7	14	0	0	0	0
Kallie Geissler	F	So	24	0	1	1	0.0417	3	6	0	0	0	0
Erica Pitzen	G	Jr	2	0	0	0	0.0000	0	0	0	0	0	0
Kayla Lange	G	So	5	0	0	0	0.0000	0	0	0	0	0	0
Mel Gerten	G	Sr	21	0	0	0	0.0000	0	0	0	0	0	0
