Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Jordan Solheim	F	Sr	25	6	18	24	0.9600	15	30	0	2	0	1
Laken Muller	F	So	25	11	9	20	0.8000	4	8	1	3	0	0
Morgan Tentis	D	So	25	8	9	17	0.6800	15	30	1	3	0	1
Tori Thompson	D	So	25	5	11	16	0.6400	12	24	1	4	0	0
Cassie Thomas	F	Sr	25	4	7	11	0.4400	6	12	2	1	0	0
Lexi Muller	D	Fr	25	4	5	9	0.3600	6	12	0	2	0	0
Alex Pederson	F	Jr	23	4	5	9	0.3913	4	8	1	1	0	0
Allie Guzy	F	So	25	5	3	8	0.3200	4	8	1	1	0	0
Anna Carman	F	Jr	25	4	3	7	0.2800	1	2	1	0	0	0
Sara Brakke	D	Jr	25	0	7	7	0.2800	3	6	0	0	0	0
Erika Vallier	F	So	11	3	2	5	0.4545	0	0	1	0	0	1
Tori Gruett	F	Fr	25	3	1	4	0.1600	13	26	1	1	0	0
Karly Nelson	D	Jr	24	1	3	4	0.1667	4	8	0	1	0	0
MacKenzie Ess	F	So	25	1	3	4	0.1600	12	24	0	0	0	0
Natalie West	F	So	25	1	3	4	0.1600	1	2	0	0	0	0
Rebecca Prigge	D	Jr	25	1	1	2	0.0800	4	8	0	0	0	0
Melissa Smith	F	Fr	24	1	0	1	0.0417	1	2	0	1	0	0
Madison True	G	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Ellie Cardinal	F	Fr	17	0	0	0	0.0000	0	0	0	0	0	0
Abbi White	G	Sr	11	0	0	0	0.0000	0	0	0	0	0	0
Kristen Pechacek	G	Jr	13	0	0	0	0.0000	0	0	0	0	0	0
