Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Holly Roberts	F	Fr	37	18	17	35	0.9459	2	6	3	2
Laura Fast	F	Jr	37	16	14	30	0.8108	1	5	0	1
Caitlin Hogan	F	Fr	37	12	17	29	0.7838	1	5	1	1
Hailey Clarkson	F	Sr	37	11	14	25	0.6757	1	6	0	0
Meaghan Pezon	F	Fr	37	12	11	23	0.6216	1	3	0	0
Megan McCarthy	F	So	34	4	14	18	0.5294	0	0	0	0
Denelle Maguet	F	Sr	36	3	15	18	0.5000	2	2	0	0
Brittni Kuyper	D	Jr	35	5	10	15	0.4286	2	2	0	0
Sammy Nixon	F	So	36	5	6	11	0.3056	1	1	0	0
Marie-Michel Lemieux	F	Sr	37	5	4	9	0.2432	0	3	0	0
Brita Schroeder	D	So	36	0	7	7	0.1944	0	0	0	0
Jacqueline Jensen	F	Sr	30	3	2	5	0.1667	1	0	0	0
Tricia Fast	F	Sr	37	0	4	4	0.1081	0	0	0	0
Katie Kemmerer	F	Fr	16	2	1	3	0.1875	0	0	0	0
Amy Currier	F	So	32	1	2	3	0.0938	0	0	0	0
Danielle Hirsch	D	Fr	35	0	3	3	0.0857	0	0	0	0
Stacy Dey	D	Jr	33	0	3	3	0.0909	0	0	0	0
Abby Krause	F	So	12	0	3	3	0.2500	0	0	0	0
Michelle Moen	F	So	10	2	0	2	0.2000	0	0	1	0
Jenaca Fredheim	D	Fr	19	0	1	1	0.0526	0	0	0	0
Carmen Lizee	G	Sr	14	0	0	0	0.0000	0	0	0	0
Kelly Meierhofer	D	Fr	28	0	0	0	0.0000	0	0	0	0
Kendall Newell	G	Jr	12	0	0	0	0.0000	0	0	0	0
Lauri St. Jacques	G	Sr	18	0	0	0	0.0000	0	0	0	0
Bobbie Anderson	F	Sr	14	0	0	0	0.0000	0	0	0	0
