Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Julia Tylke	F	So	33	12	8	20	0.6061	11	22	0	2	0	1
Kayla Friesen	F	Fr	36	7	11	18	0.5000	11	22	0	0	0	0
Alyssa Erickson	F	Jr	36	8	7	15	0.4167	11	22	2	0	0	0
Hannah Potrykus	F	So	30	7	8	15	0.5000	7	14	1	0	0	0
Payge Pena	F	Sr	36	6	7	13	0.3611	7	14	0	1	0	1
Lauren Hespenheide	F	Sr	36	4	7	11	0.3056	8	16	0	1	0	0
Janna Haeg	F	Fr	33	5	5	10	0.3030	1	2	2	1	0	0
Brittney Anderson	D	Jr	32	1	8	9	0.2813	10	20	0	1	0	0
Kelsey Saelens	F	Sr	34	1	5	6	0.1765	4	8	1	0	0	0
Caroline Markström	D	Sr	36	3	2	5	0.1389	9	40	1	0	0	0
Christa Moody	D	Sr	36	1	4	5	0.1389	4	8	1	0	0	0
Brooke Kudirka	F	Fr	36	1	4	5	0.1389	2	4	0	0	0	0
Emma Turbyville	D	Jr	35	1	4	5	0.1429	8	16	0	1	0	0
Jenna Redford	D	Sr	36	0	5	5	0.1389	3	6	0	0	0	0
Ivy Dynek	F	So	34	2	2	4	0.1176	2	4	0	0	0	0
Jordan Stewart	F	So	34	2	1	3	0.0882	1	2	1	0	0	0
Suvi Ollikainen	F	So	34	0	3	3	0.0882	2	4	0	0	0	0
Rachel Herzog	D	Fr	36	0	2	2	0.0556	8	16	0	0	0	0
Janine Alder	G	Fr	31	0	1	1	0.0323	0	0	0	0	0	0
Katie Detert	F	Fr	21	0	0	0	0.0000	0	0	0	0	0	0
Taylor Crosby	G	So	6	0	0	0	0.0000	0	0	0	0	0	0
Madeleine Dahl	G	So	5	0	0	0	0.0000	0	0	0	0	0	0
