Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Gina Kingsbury	F	Sr	33	26	31	57	1.7273	4	7	2	1
Rebecca Russell	F	Jr	35	24	30	54	1.5429	7	6	2	0
Chelsea Grills	F	Fr	35	17	20	37	1.0571	2	4	2	0
Rickie-Lee Doyle	F	Jr	39	16	16	32	0.8205	5	4	3	0
Emilie Berlinguette	F	So	39	12	15	27	0.6923	5	4	2	0
Sara Simard	F	Sr	39	7	13	20	0.5128	0	2	0	1
Crystal Connors	F	Fr	39	6	12	18	0.4615	0	4	0	0
Abbie Bullard	D	Fr	37	3	14	17	0.4595	0	2	0	0
Laurie Ross	D	So	36	1	16	17	0.4722	1	0	0	0
Christin Powers	F	Jr	39	9	7	16	0.4103	1	0	1	0
Kate Michael	D	So	39	7	7	14	0.3590	1	4	0	1
Whitney Carbone	F	Jr	39	4	8	12	0.3077	0	1	0	0
Tracy Muzerall	D	So	38	1	11	12	0.3158	0	1	0	0
Elisabeth Pahler	F	Fr	37	4	5	9	0.2432	0	0	0	0
Kim Kodatsky	F	Fr	35	4	1	5	0.1429	2	0	0	0
Lindsay Charlebois	D	Sr	39	0	5	5	0.1282	0	0	0	0
Nicole Mandras	F	Fr	32	1	3	4	0.1250	0	0	0	0
Casey Hughes	D	Fr	37	1	1	2	0.0541	0	0	0	0
Barat Wolfe	D	Sr	16	0	2	2	0.1250	0	0	0	0
Dana Hasson	F	Sr	8	0	1	1	0.1250	0	0	0	0
Kaitlin Branon	G	Fr	1	0	0	0	0.0000	0	0	0	0
Lea Armendariz	G	Jr	5	0	0	0	0.0000	0	0	0	0
Julia Palmateer	F	Fr	10	0	0	0	0.0000	0	0	0	0
Rachel Barrie	G	Sr	36	0	0	0	0.0000	0	0	0	0
