Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Mel Desrochers	D	Sr	35	11	21	32	0.9143	15	30	2	6	0	0
Rylee Smith	F	Sr	34	9	16	25	0.7353	17	34	2	3	0	0
Brooke Webster	F	Fr	35	8	15	23	0.6571	12	24	1	5	0	0
Kayla Raniwsky	F	Jr	35	6	13	19	0.5429	10	20	2	4	0	0
Alex Moore	F	Fr	35	7	8	15	0.4286	7	14	1	4	0	0
Dayle Wilkinson	D	Sr	35	5	10	15	0.4286	4	8	2	4	0	0
Kailee Heidersbach	F	So	35	8	6	14	0.4000	9	21	1	1	0	1
Abbey McRae	F	So	35	3	9	12	0.3429	5	10	0	0	0	0
Kirsten Padalis	D	Fr	35	4	6	10	0.2857	9	18	0	2	0	0
Jessica Hon	F	Jr	35	4	5	9	0.2571	2	4	1	0	0	0
Jenna Marks	F	So	34	4	5	9	0.2647	10	20	1	0	0	1
Ellie Williams	F	Jr	34	3	4	7	0.2059	2	4	0	0	0	0
Margo Lund	F	So	35	1	6	7	0.2000	1	2	0	0	0	0
Jacqueline Wand	F	Jr	22	1	2	3	0.1364	5	10	0	1	0	0
Dominique Korakianitis	D	So	35	0	3	3	0.0857	4	8	0	0	0	0
Sydney Bell	F	So	35	0	1	1	0.0286	1	2	0	0	0	0
Bailey Habscheid	F	Sr	6	0	1	1	0.1667	0	0	0	0	0	0
Victoria Leimgardt	D	So	32	0	0	0	0.0000	0	0	0	0	0	0
Carmen MacDonald	G	Jr	29	0	0	0	0.0000	0	0	0	0	0	0
Giulia Mazzocchi	G	So	7	0	0	0	0.0000	0	0	0	0	0	0
Mikaela Thompson	G	So	1	0	0	0	0.0000	0	0	0	0	0	0
Carrie Wilder	F	Jr	30	0	0	0	0.0000	0	0	0	0	0	0
Jessa McAuliffe	D	Jr	1	0	0	0	0.0000	0	0	0	0	0	0
