Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Emily Kearns	F	So	27	32	18	50	1.8519	5	4	1	3
Christy Hicks	F	Jr	27	15	15	30	1.1111	3	2	2	0
Missy Westergren	F	Sr	19	8	14	22	1.1579	3	2	1	0
Jaimie Mussehl	F	Fr	25	12	8	20	0.8000	4	1	1	0
Tennie McCabe	F	So	13	5	12	17	1.3077	1	1	0	0
Tasa Kostel	F	So	27	7	9	16	0.5926	0	1	1	1
Laura Wyness	F	Sr	25	8	7	15	0.6000	2	3	0	0
Mo Hayes	D	Sr	18	2	13	15	0.8333	0	0	0	0
Mindy Westergren	D	Sr	26	1	12	13	0.5000	0	0	0	0
Aja Walters	F	Fr	28	4	5	9	0.3214	0	0	0	0
Monica Deringer	F	Jr	27	1	8	9	0.3333	0	0	0	0
Beth Zubrzycki	D	So	26	2	6	8	0.3077	0	0	0	0
Alissa Schultz	F	So	26	2	6	8	0.3077	1	1	0	0
Sarah Gibbons	F	Jr	24	2	3	5	0.2083	1	1	0	0
Kelly O'Neil	F	Sr	28	1	3	4	0.1429	0	0	0	0
Jamie Staples	D	Fr	5	2	1	3	0.6000	0	1	0	0
Josie Nechodom	F	Jr	23	2	1	3	0.1304	1	1	0	0
Kate Williams	D	Fr	28	2	0	2	0.0714	0	0	0	0
Diane Amsden	D	So	24	1	0	1	0.0417	0	0	0	0
Ann Kennedy	F	So	25	0	1	1	0.0400	0	0	0	0
Kris Klimmek	D	Jr	16	0	1	1	0.0625	0	0	0	0
Kendall French	D	So	2	0	0	0	0.0000	0	0	0	0
Nitara Frost	G	Jr	8	0	0	0	0.0000	0	0	0	0
Missie Meemken	G	Jr	23	0	0	0	0.0000	0	0	0	0
Hannah Coleman	F	So	2	0	0	0	0.0000	0	0	0	0
Naho Tajima	D	So	3	0	0	0	0.0000	0	0	0	0
