Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Jamie Henderson	F	Jr	25	11	6	17	0.6800	8	16	1	3	0	1
Anya Hafiz	F	Fr	19	8	5	13	0.6842	6	12	0	2	0	0
Kassie Lien	F	Sr	23	7	6	13	0.5652	4	8	1	2	1	0
Lindsay Paschke	F	Sr	25	4	4	8	0.3200	4	8	1	2	0	0
Jane Hannula	F	Sr	25	6	1	7	0.2800	3	6	0	0	1	2
Bailey Wendt	F	So	19	5	2	7	0.3684	3	6	1	1	0	0
Natalie Ryan	D	Fr	23	3	3	6	0.2609	15	33	1	2	0	1
Kayla Pierson	F	Jr	21	0	6	6	0.2857	7	14	0	0	0	0
Jesse Cwik	F	Sr	7	3	1	4	0.5714	3	6	1	0	1	0
Taylor Pogreba	F	Sr	22	0	4	4	0.1818	3	6	0	0	0	0
Hannah Croonquist	F	Jr	23	2	1	3	0.1304	0	0	0	0	0	0
Madison Thomas	D	So	25	0	2	2	0.0800	5	10	0	0	0	0
Lauren Rogers	F	Fr	25	0	2	2	0.0800	4	8	0	0	0	0
Kayla Henning	D	Fr	24	1	0	1	0.0417	9	29	0	0	0	0
Kelsey Corcoran	D	Fr	25	0	1	1	0.0400	0	0	0	0	0	0
Mady Bodick	D	Fr	19	0	1	1	0.0526	5	10	0	0	0	0
Ashley Corcoran	G	So	14	0	0	0	0.0000	0	0	0	0	0	0
Jessica Jones	D	Fr	20	0	0	0	0.0000	4	8	0	0	0	0
Mandy Sailor	D	Jr	25	0	0	0	0.0000	11	22	0	0	0	0
Emma Tschida	G	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Miryea Herman	D	So	25	0	0	0	0.0000	6	12	0	0	0	0
Marah Shields	G	Sr	13	0	0	0	0.0000	0	0	0	0	0	0
