Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Noreen Russo	F	Fr	23	17	11	28	1.2174	2	2	2	0
Meg Lyons	F	So	19	8	15	23	1.2105	1	2	1	0
Michelle Miaskiewicz	F	Fr	23	4	9	13	0.5652	0	1	0	0
Holly Brandl	F	So	23	2	7	9	0.3913	1	0	0	0
Rachel Lamothe	F	So	22	2	3	5	0.2273	0	1	0	0
Meghan Dukette	RW	Sr	23	2	1	3	0.1304	0	0	0	0
Kate Talbot	F/D	So	23	1	2	3	0.1304	0	0	0	0
Sarah Brown	LW	Sr	23	1	2	3	0.1304	0	0	0	0
Lauren Landrigan	D	Jr	23	0	3	3	0.1304	0	0	0	0
Sarah Walker	F	Fr	23	2	0	2	0.0870	0	1	0	0
Erin Cleary	D	So	23	1	0	1	0.0435	0	0	0	0
Rebecca Marquis	D	Fr	21	0	1	1	0.0476	0	0	0	0
Adriana Montalbano	F	Fr	23	0	1	1	0.0435	0	0	0	0
Sarah MacConnell	G	Sr	2	0	0	0	0.0000	0	0	0	0
Ruth D'Amico	F/D	So	22	0	0	0	0.0000	0	0	0	0
Danielle Hicks			18	0	0	0	0.0000	0	0	0	0
Erin Gilmore	G	Fr	3	0	0	0	0.0000	0	0	0	0
Marcy Ring	G	So	11	0	0	0	0.0000	0	0	0	0
Hillary Gagnon	D	Sr	16	0	0	0	0.0000	0	0	0	0
Annice Mason	G	Fr	14	0	0	0	0.0000	0	0	0	0
Melissa Hill	D	Fr	3	0	0	0	0.0000	0	0	0	0
