Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Meghan Sweezey	F	So	25	9	14	23	0.9200	15	30	0	5	1	0
Desiree Biron	F	So	25	10	11	21	0.8400	12	24	3	4	1	1
Gabrielle Bourgeois	F	Sr	25	6	13	19	0.7600	3	6	2	2	1	1
Jess Tourville	F	Jr	24	4	10	14	0.5833	11	33	0	3	0	0
Kelly Rose Losi	C	Fr	21	6	6	12	0.5714	10	20	1	1	0	0
Alexis Regan	D	So	21	5	6	11	0.5238	15	30	0	3	0	0
Crystal Sarno	D	So	25	6	4	10	0.4000	9	18	0	1	0	0
Amy Schoon	F	Jr	25	4	6	10	0.4000	1	2	0	0	0	0
Emily Paquin	F	Fr	24	4	5	9	0.3750	25	50	2	1	0	0
Kristina Reardon	D	So	25	1	4	5	0.2000	8	16	0	1	0	0
Kelly Adams	D	Jr	25	1	4	5	0.2000	21	45	0	0	0	0
Brittany O'Brien	F	Sr	15	1	3	4	0.2667	0	0	0	0	0	0
Leslie Pomponi	F	Sr	25	2	0	2	0.0800	2	4	0	0	0	0
Erin Bruhn	F	So	19	2	0	2	0.1053	1	2	0	1	0	0
Shannon Murphy	F	Jr	6	0	2	2	0.3333	0	0	0	0	0	0
Sarah Landis	F	So	18	0	2	2	0.1111	2	4	0	0	0	0
Kaleigh Ferrari	F/D	Fr	21	0	1	1	0.0476	3	6	0	0	0	0
Meg Guarente	D	Fr	9	0	1	1	0.1111	0	0	0	0	0	0
Alysia Goldman	G	Fr	4	0	0	0	0.0000	0	0	0	0	0	0
Molly DiMasi	D	So	21	0	0	0	0.0000	0	0	0	0	0	0
Meghan Colitti	D	Fr	15	0	0	0	0.0000	3	6	0	0	0	0
Melanie Cullen	G	Jr	24	0	0	0	0.0000	0	0	0	0	0	0
Kathleen Claypool	F	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Meredith Fogg	D	Fr	7	0	0	0	0.0000	0	0	0	0	0	0
Anne Altieri	F	Jr	4	0	0	0	0.0000	0	0	0	0	0	0
Ashley Sutton	D	Jr	6	0	0	0	0.0000	0	0	0	0	0	0
Emily Ham	F	Fr	16	0	0	0	0.0000	1	2	0	0	0	0
