Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Ali Parker	F	Jr	28	17	13	30	1.0714	8	16	1	4	2	0
Zoe Kurth	F	Sr	25	10	20	30	1.2000	7	14	0	2	0	1
Andrea Senne	F	Sr	28	8	17	25	0.8929	11	22	1	2	1	1
Laurel Hill	D	Sr	25	4	20	24	0.9600	10	20	2	2	0	0
Lauren Roethlisberger	F	So	28	11	12	23	0.8214	13	26	2	2	0	0
Henriette Ostergaard	F	Sr	23	10	11	21	0.9130	9	18	2	4	1	0
Stephanie Slinde	F	Sr	26	9	10	19	0.7308	9	18	1	3	0	0
Myranda Hayes	D	So	25	6	8	14	0.5600	16	32	1	2	0	0
Danielle Rozon	F	Sr	28	5	9	14	0.5000	10	20	1	3	0	0
Megan Crandell	D	Fr	25	1	10	11	0.4400	4	19	0	0	0	0
Jillian Kosteck	F	Fr	27	5	5	10	0.3704	14	28	2	1	0	0
Rachel Koppang	F	Fr	14	6	3	9	0.6429	1	2	3	1	0	0
Katie Conlon	D	Jr	28	2	5	7	0.2500	6	12	1	1	0	0
Ashley Wilson	D	Sr	27	0	7	7	0.2593	3	6	0	0	0	0
Emily Chandler	F	So	23	3	3	6	0.2609	9	18	1	0	0	0
Tarraneh Dadgar	F	Sr	28	2	4	6	0.2143	4	8	0	0	0	0
Allie Patrick	D	Fr	24	1	3	4	0.1667	2	4	0	0	0	0
Taylor Giacin	F	Sr	21	3	0	3	0.1429	1	2	1	0	0	0
Karissa Anderson	F	Sr	8	0	3	3	0.3750	2	4	0	0	0	0
Kylie Gazzolo	F	Fr	19	1	1	2	0.1053	1	2	0	0	0	0
Ashley Biehl	F	Sr	13	0	0	0	0.0000	0	0	0	0	0	0
Brooke Nicholson	D	Sr	9	0	0	0	0.0000	0	0	0	0	0	0
Kaley Gibson	G	Sr	19	0	0	0	0.0000	2	4	0	0	0	0
Katie Aluia	G	Sr	9	0	0	0	0.0000	0	0	0	0	0	0
Breanna Kelly	D	Sr	1	0	0	0	0.0000	1	2	0	0	0	0
Julia Muscarello	F/D	Sr	1	0	0	0	0.0000	0	0	0	0	0	0
