Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Erin Baxter	F	So	24	11	17	28	1.1667	2	4	0	0
Lindsay Weier	D	Fr	24	14	9	23	0.9583	1	4	0	0
Kate Barnett	F	So	24	11	12	23	0.9583	2	1	0	0
Brit Schultheis	F	So	24	6	11	17	0.7083	0	3	0	0
Sarah Ray	D	Sr	24	5	11	16	0.6667	1	4	0	0
Jennifer Welch	F	Fr	24	10	4	14	0.5833	3	0	0	0
Melissa Mueller	D	Fr	24	1	7	8	0.3333	0	0	0	0
Kayla Wente	F	So	24	3	4	7	0.2917	0	0	0	0
Kirsten Paulson	F	Fr	22	0	5	5	0.2273	0	0	0	0
Sarah Johnson	D	So	24	2	1	3	0.1250	0	0	0	0
Lorna Wilson	D	So	23	1	2	3	0.1304	1	0	0	0
Annie Whipple	F	Sr	24	1	0	1	0.0417	0	0	0	0
Jennifer Luke	F	So	23	1	0	1	0.0435	0	0	0	0
Kendra Ruff	D	Fr	22	0	1	1	0.0455	0	0	0	0
Andrea Smith	G	So	12	0	0	0	0.0000	0	0	0	0
Jenny Groth	D	So	10	0	0	0	0.0000	0	0	0	0
Sunshine Pearson	F	Fr	21	0	0	0	0.0000	0	0	0	0
Kristen Spindler	F	Fr	8	0	0	0	0.0000	0	0	0	0
Amanda Chumbley	G	Sr	2	0	0	0	0.0000	0	0	0	0
Kerry Rollwagen	G	So	11	0	0	0	0.0000	0	0	0	0
Andra Curtis	F	Fr	20	0	0	0	0.0000	0	0	0	0
