Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Katie Iraci	F	Jr	27	10	11	21	0.7778	2	4	3	1	0	0
Kim McClintick	F	Sr	26	12	8	20	0.7692	5	10	1	6	0	0
Nicole Stumpf	F	Fr	27	10	10	20	0.7407	7	14	1	4	0	0
Alison Umland	F	Fr	27	8	10	18	0.6667	4	8	1	3	0	0
Lauren Tomford	F	Sr	26	11	6	17	0.6538	12	24	5	4	0	0
Kristen Latta	D	So	27	2	13	15	0.5556	7	14	0	1	0	0
Meghan Stumpf	F	Jr	27	7	7	14	0.5185	22	44	1	3	0	0
Kari McClintick	F	Sr	27	4	9	13	0.4815	10	20	0	1	0	0
Kayla Hill	F	Sr	27	4	7	11	0.4074	5	10	1	1	1	1
Jessica Laurinaitis	D	Fr	26	1	10	11	0.4231	14	28	1	1	0	0
Alex Meyer	F	So	24	2	8	10	0.4167	4	8	0	1	0	0
Taylor Orr	F	So	20	3	3	6	0.3000	6	12	0	0	0	0
Kelly Biddle	F	So	24	1	4	5	0.2083	10	20	0	1	0	0
Taylor David	D	Sr	25	0	5	5	0.2000	7	14	0	0	0	0
Cassie Forster	D	Jr	24	1	3	4	0.1667	6	12	0	0	0	0
Breanna Johnson	F	Jr	16	1	2	3	0.1875	1	2	0	0	0	0
Bridget Anderson	F	Jr	10	0	3	3	0.3000	0	0	0	0	0	0
Carolyn Sneep	D	Jr	26	0	3	3	0.1154	3	6	0	0	0	0
Kristina Kontny	F	Sr	13	2	0	2	0.1538	1	2	0	0	0	0
Melina Lamer	D	Fr	10	1	0	1	0.1000	3	6	0	0	0	0
Sarah Edgerton	F	So	6	1	0	1	0.1667	4	8	0	0	0	0
Christina Benjamin	F	So	15	1	0	1	0.0667	0	0	0	0	0	0
Jessica Ptachick	G	Sr	16	0	0	0	0.0000	0	0	0	0	0	0
Erin McNamara	G	Jr	13	0	0	0	0.0000	0	0	0	0	0	0
Corbin Ruiz	G	Jr	1	0	0	0	0.0000	0	0	0	0	0	0
Emily Smith	F	Fr	3	0	0	0	0.0000	0	0	0	0	0	0
Tori Heinonen	F	Jr	1	0	0	0	0.0000	0	0	0	0	0	0
