Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Nina Waidacher	F	Fr	22	18	18	36	1.6364	12	24	1	3	0	0
Monika Waidacher	F	So	24	11	18	29	1.2083	4	8	1	4	0	0
Michelle Fischer	F	So	27	7	17	24	0.8889	2	4	1	1	0	0
Jordan Klimek	F	So	27	10	12	22	0.8148	6	12	1	2	1	0
Alex Blair	D	Fr	27	4	7	11	0.4074	12	24	0	0	0	0
Alana Levido	D	So	27	2	8	10	0.3704	11	22	0	2	0	0
Michelle Rebeck	F	So	27	7	2	9	0.3333	10	23	3	0	0	0
Courtney Esse	F	So	27	4	5	9	0.3333	1	2	0	1	0	0
Kaitlin Johnston	D	Fr	27	3	6	9	0.3333	4	8	2	1	0	0
Brenna Flatley	D	So	25	0	9	9	0.3600	12	24	0	0	0	0
Malin Zetterberg	F	Fr	27	4	4	8	0.2963	7	14	1	3	0	0
Briget Cojocar	F	So	27	3	3	6	0.2222	1	2	0	0	0	0
Briana Stephens	F	So	27	2	3	5	0.1852	10	20	1	0	0	0
Angela Schlieske	F	So	24	3	1	4	0.1667	12	24	1	0	0	0
Frankie Bergman	D	So	27	2	2	4	0.1481	9	18	0	0	0	0
Cara McMannis	F	So	27	1	2	3	0.1111	1	2	1	0	0	0
Jana Henry	F	So	27	1	2	3	0.1111	4	8	0	0	0	0
Rachel Borchardt	G	Sr	8	0	0	0	0.0000	0	0	0	0	0	0
Shannon Connolly	G	Fr	11	0	0	0	0.0000	0	0	0	0	0	0
Stephanie Lenz	D	Jr	1	0	0	0	0.0000	2	4	0	0	0	0
Sheridan Friesen	G	Fr	11	0	0	0	0.0000	0	0	0	0	0	0
