Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Tomery Stolz	F	So	26	23	16	39	1.5000	4	4	1	0
Heather Martin	D	Sr	26	9	14	23	0.8846	1	4	0	0
Tiff Petermeier	F	Fr	26	14	8	22	0.8462	1	4	0	1
Jana Jurkovich	D	Fr	26	7	13	20	0.7692	2	1	0	0
Alison Holland	F/D	Jr	26	6	7	13	0.5000	0	2	0	0
Rachel Reinhardt	D	Fr	25	3	10	13	0.5200	0	1	0	0
Tedra Mitchell	F	Fr	24	3	6	9	0.3750	1	0	0	0
Katie Strassener	RW	Fr	10	3	5	8	0.8000	1	0	0	0
Kelly Kopel	F	Jr	20	5	2	7	0.3500	0	0	0	0
Jordan Benson	F/D	So	24	4	3	7	0.2917	2	0	0	0
Jill Goral	F	Sr	26	3	4	7	0.2692	1	0	0	0
Leah Truax	F	Fr	16	3	2	5	0.3125	0	0	0	0
Nicki Magill	F	So	17	3	2	5	0.2941	0	0	0	0
Kara Trygestad	F	So	25	0	5	5	0.2000	0	0	0	0
Lindsay Jacobs	D	So	25	0	4	4	0.1600	0	0	0	0
Vanessa Miller	D	So	24	1	2	3	0.1250	0	0	0	0
Angie Schulte	F	Sr	15	1	1	2	0.1333	0	0	0	0
Kristen Steiner	F	Fr	16	1	1	2	0.1250	1	0	0	0
Jessica Christopherson	F	So	4	0	2	2	0.5000	0	0	0	0
Michelle Radzik	D	Fr	19	0	2	2	0.1053	0	0	0	0
Katie Moore	F	So	23	0	1	1	0.0435	0	0	0	0
Renee Hirte	G	Fr	1	0	0	0	0.0000	0	0	0	0
Karissa Stapf	G	Jr	16	0	0	0	0.0000	0	0	0	0
Kristen Ponsolle	F	Jr	12	0	0	0	0.0000	0	0	0	0
Danielle Mikolai	G	So	16	0	0	0	0.0000	0	0	0	0
Sina Zimmerman	D	Sr	5	0	0	0	0.0000	0	0	0	0
Nikki Sailer	F	Fr	4	0	0	0	0.0000	0	0	0	0
