Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Melanie Drake	F/D	Jr	27	23	12	35	1.2963	7	7	0	0
Tanaya Reitz	F	Jr	27	18	17	35	1.2963	4	3	2	0
Ashley Reinhardt	F	Fr	27	16	14	30	1.1111	2	5	0	0
Allison Turgeon	F	So	27	6	21	27	1.0000	0	1	1	0
Maureen Hardwick	F	Jr	25	12	14	26	1.0400	3	4	1	0
Jackie Foley	D	Jr	27	6	15	21	0.7778	0	1	0	0
Maria Richardson	F	So	27	10	8	18	0.6667	2	3	0	0
Courtney Sekevitch	F	Fr	16	6	12	18	1.1250	1	0	1	0
Maggie Toft	D	So	27	5	11	16	0.5926	0	2	1	0
Tedra Mitchell	F	Sr	27	7	8	15	0.5556	1	0	1	0
Allison O'Hara	D	Jr	26	1	14	15	0.5769	0	1	0	0
Susan Hosford	F	Jr	26	6	6	12	0.4615	0	0	0	0
Kallie Tabor	D	Fr	22	3	8	11	0.5000	0	1	0	1
Holly Noble	F	Fr	24	2	9	11	0.4583	0	0	0	0
Anne Schema	F	So	24	5	3	8	0.3333	0	0	1	0
Marcy Stech	F	So	16	4	4	8	0.5000	0	0	0	0
Sue Heinmiller	F	Jr	18	2	6	8	0.4444	1	1	0	0
Jenny Sorensen	F	Jr	16	1	7	8	0.5000	0	0	0	0
Erin Shepet	D	Fr	13	2	2	4	0.3077	0	0	0	0
Natalie Casas	D	Fr	17	0	3	3	0.1765	0	0	0	0
Michelle Radzik	D	Sr	10	1	1	2	0.2000	0	0	0	0
Rachel Reinhardt	D	Sr	19	0	1	1	0.0526	0	0	0	0
Katie Jetland	G	So	12	0	0	0	0.0000	0	0	0	0
Becky Kilpatrick	G	Jr	15	0	0	0	0.0000	0	0	0	0
