Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Tara Baago	F	Sr	28	15	17	32	1.1429	11	22	1	4	4	0
Courtney Umland	F	Jr	28	10	20	30	1.0714	4	8	3	3	0	0
Heidi Winiecki	F	Fr	28	9	13	22	0.7857	1	2	1	3	0	1
Megan Juricko	D	Jr	28	4	14	18	0.6429	8	16	0	2	0	0
Maddie McGlade	F	Fr	28	9	7	16	0.5714	3	6	2	1	0	0
Rachel Friberg	F	Jr	27	9	5	14	0.5185	6	12	1	0	0	0
Karina Marette	F	Jr	28	4	8	12	0.4286	9	18	1	1	0	0
Nuala Flood	D	Jr	28	5	6	11	0.3929	18	36	1	1	0	0
Hannah Bird	D	So	27	4	7	11	0.4074	6	12	2	0	0	0
Tori Bailey	D	Jr	27	5	4	9	0.3333	9	18	1	2	0	0
Paige Baldwin	F	Sr	28	2	5	7	0.2500	2	4	1	0	0	0
Allison Borgstrom	F	Fr	28	1	6	7	0.2500	5	10	0	0	0	0
Hannah Burns	F	Jr	28	2	2	4	0.1429	2	4	0	0	0	0
Erika Bjorkman	F	Fr	27	2	2	4	0.1481	3	6	0	1	0	0
Dani Lobejko	D	Sr	28	1	1	2	0.0714	18	36	0	0	0	0
Paige Healy	F	So	28	1	0	1	0.0357	0	0	0	0	0	0
Cassidy McGree	F	Fr	11	0	0	0	0.0000	0	0	0	0	0	0
Breanna Mahoney	F	Fr	24	0	0	0	0.0000	0	0	0	0	0	0
Paige Kittelson	G	Fr	11	0	0	0	0.0000	0	0	0	0	0	0
Sam Miller	D	Fr	5	0	0	0	0.0000	0	0	0	0	0	0
Hayley Estes	F	Jr	16	0	0	0	0.0000	0	0	0	0	0	0
Jamie Kichler	D	Fr	3	0	0	0	0.0000	0	0	0	0	0	0
Phaylen Meyer	G	Fr	4	0	0	0	0.0000	0	0	0	0	0	0
Taylor Neisen	G	Jr	17	0	0	0	0.0000	0	0	0	0	0	0
