Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
McKenzie Taggart	F	Fr	21	6	7	13	0.6190	7	14	0	2	1	1
Molly O'Neil	F	Fr	21	6	5	11	0.5238	18	39	2	2	0	0
Jessie Capanelli	F	Fr	21	4	5	9	0.4286	18	50	0	1	0	0
Rachel Martell	D	Fr	18	3	3	6	0.3333	9	18	0	2	0	0
Karly Vis	F	Fr	19	2	4	6	0.3158	1	2	0	0	0	0
Madison Lange	F	Fr	21	0	6	6	0.2857	8	16	0	0	0	0
Sydney Sakwa	F	Fr	19	3	2	5	0.2632	1	2	0	0	0	1
Kristen Webber	D	Fr	22	1	4	5	0.2273	17	34	0	0	0	0
Megan Donahue	F	Fr	21	3	1	4	0.1905	12	24	1	0	0	0
Katie Abbott	F	Fr	17	2	2	4	0.2353	5	10	0	1	0	0
Brooke Webber	D	Fr	19	1	3	4	0.2105	7	14	0	0	0	0
Ana-Sophia Brande	F	Fr	18	0	4	4	0.2222	2	4	0	0	0	0
Lindsey Lawrence	F	Fr	11	3	0	3	0.2727	4	8	1	0	0	0
Megan Alexander	F	Fr	19	2	1	3	0.1579	3	6	2	0	0	0
Erin McLoughlin	F	Fr	16	0	3	3	0.1875	3	6	0	0	0	0
Tori Emoff	D	Fr	19	1	1	2	0.1053	7	14	0	1	0	0
Sydney Hughes	D	Fr	19	0	2	2	0.1053	5	10	0	0	0	0
Kylee Buchel	F/D	Fr	11	0	1	1	0.0909	1	2	0	0	0	0
Liana Vazquez	F	Fr	17	0	1	1	0.0588	4	8	0	0	0	0
Emma Sunness	D	Fr	20	0	1	1	0.0500	11	22	0	0	0	0
Keeley Cook	F/D	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Sarah Modzelewski	G	Fr	9	0	0	0	0.0000	0	0	0	0	0	0
Piper Moles	F	Fr	16	0	0	0	0.0000	5	10	0	0	0	0
Hannah Bienkowski	D	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Anastassia Nelson	G	Fr	3	0	0	0	0.0000	0	0	0	0	0	0
Mackenzie Bruch	G	Fr	10	0	0	0	0.0000	0	0	0	0	0	0
