Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Stephanie Grossi	F	Fr	36	9	21	30	0.8333	0	0	0	1	0	0
Melissa Piacentini	F	Jr	36	18	11	29	0.8056	15	36	2	11	0	1
Alysha Burriss	F	Fr	36	13	11	24	0.6667	4	8	1	3	0	3
Jessica Sibley	F	So	36	7	10	17	0.4722	19	38	1	3	0	0
Nicole Renault	D	Jr	36	5	12	17	0.4722	25	50	1	2	0	0
Kaillie Goodnough	D	Sr	36	2	10	12	0.3333	23	46	0	1	0	0
Julie Knerr	F	Sr	36	5	6	11	0.3056	11	30	2	1	0	0
Allie LaCombe	F	Sr	34	5	6	11	0.3235	6	12	1	0	1	0
Heather Schwarz	F	So	36	4	6	10	0.2778	6	12	2	0	0	1
Emily Costales	F	Fr	30	3	6	9	0.3000	10	20	0	0	0	0
Larissa Martyniuk	D	So	36	2	7	9	0.2500	10	20	1	1	0	0
Akane Hosoyamada	F/D	Sr	34	0	9	9	0.2647	14	28	0	0	0	0
Danielle Leslie	D	Jr	33	0	4	4	0.1212	7	14	0	0	0	0
Laurence Porlier	F	So	33	1	2	3	0.0909	4	8	0	0	0	0
Dakota Derrer	D	Fr	32	0	3	3	0.0938	11	22	0	0	0	0
Eleanor Haines	F	So	30	1	1	2	0.0667	4	8	0	0	0	0
Megan Quinn	D	Fr	34	0	2	2	0.0588	2	4	0	0	0	0
Amanda Cariddi	G	Jr	2	0	0	0	0.0000	0	0	0	0	0	0
Morgan Blank	F	So	15	0	0	0	0.0000	1	2	0	0	0	0
Erin Brand	F/D	So	7	0	0	0	0.0000	1	2	0	0	0	0
Elizabeth Scala	F	So	8	0	0	0	0.0000	0	0	0	0	0	0
Kaylee Druk	F	Fr	34	0	0	0	0.0000	7	14	0	0	0	0
Abbey Miller	G	Fr	3	0	0	0	0.0000	0	0	0	0	0	0
Jenn Gilligan	G	Jr	34	0	0	0	0.0000	0	0	0	0	0	0
