Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Kristy Hadeka	F	Fr	20	8	11	19	0.9500	2	2	0	0
Victoria Fox	F	Fr	20	3	12	15	0.7500	0	2	0	0
Katelyn Bowman			12	7	6	13	1.0833	0	1	0	0
Jillian Nelsen	F	So	20	6	5	11	0.5500	0	1	0	0
Michelle O'Neil	F	Fr	20	3	4	7	0.3500	1	2	0	0
Jessica Martin	D	Sr	19	1	4	5	0.2632	0	0	0	0
Libby Jakes	D	Fr	20	2	2	4	0.2000	1	0	0	0
Sabra Carman	F	Fr	20	1	3	4	0.2000	0	0	0	0
Samantha Lee	F	So	20	2	1	3	0.1500	1	0	0	0
Leah Culver	D	So	19	1	2	3	0.1579	0	0	0	0
Kristen Allegue	F	Fr	2	2	0	2	1.0000	0	0	1	0
Sarah Shoukimas	F	So	19	2	0	2	0.1053	1	0	0	0
Kate Heney	F	Sr	20	0	1	1	0.0500	0	0	0	0
Erin LeDell	F		13	0	1	1	0.0769	0	0	0	0
Mimi MacKinnon	G	So	20	0	0	0	0.0000	0	0	0	0
Anne Lehmann	F	Fr	19	0	0	0	0.0000	0	0	0	0
Mary Jane Irvin	D	Fr	8	0	0	0	0.0000	0	0	0	0
Lindsay Oldershaw	D	So	16	0	0	0	0.0000	0	0	0	0
Michelle Bovard	G	So	1	0	0	0	0.0000	0	0	0	0
Suzy Foster	D		1	0	0	0	0.0000	0	0	0	0
Lacey Manzione	D	Jr	8	0	0	0	0.0000	0	0	0	0
