Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Kelcie Finn	F	Jr	25	8	5	13	0.5200	20	40	1	1	0	0
Melissa Maffeo	F	Jr	17	5	6	11	0.6471	0	0	0	0	0	0
Hannah Oganeku	F	Jr	25	3	4	7	0.2800	11	22	2	1	0	0
Olivia White	F	Fr	25	2	5	7	0.2800	2	4	1	0	0	0
Tasha Adams	D	Jr	25	2	2	4	0.1600	6	12	0	1	0	0
Chandler Solimine	F	So	25	2	2	4	0.1600	1	2	1	0	0	0
Allie Bravi	D	Sr	25	1	3	4	0.1600	15	30	0	0	0	0
Delaney Harrop	D	Jr	25	0	4	4	0.1600	9	18	0	0	0	0
Lindsay Miller	F	So	25	1	2	3	0.1200	6	12	0	0	0	0
Jessica Stowell	D	Sr	25	1	2	3	0.1200	3	6	1	0	0	0
Taylor Foy	D	Fr	25	1	2	3	0.1200	6	12	1	1	0	0
Kate Fraley	F	Sr	25	1	2	3	0.1200	4	8	0	0	0	0
Alex Sinson	D	Fr	25	1	2	3	0.1200	3	6	0	0	0	0
Alex Wallin	F	Fr	25	1	1	2	0.0800	8	16	1	0	0	0
Kayla O'Connor	F	Jr	25	0	2	2	0.0800	5	10	0	0	0	0
Lauren MacMaster	F	Fr	24	0	2	2	0.0833	1	2	0	0	0	0
Maggie Cusick	F	Fr	25	1	0	1	0.0400	7	14	1	0	0	0
Jess Thulin	G	Jr	9	0	0	0	0.0000	0	0	0	0	0	0
Sydney Belinskas	G	Jr	13	0	0	0	0.0000	3	6	0	0	0	0
Claire Foran	F	So	9	0	0	0	0.0000	0	0	0	0	0	0
Kai-Lilly Karpman	G	Fr	3	0	0	0	0.0000	0	0	0	0	0	0
Caroline Howell	D	Jr	25	0	0	0	0.0000	1	2	0	0	0	0
