Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Melissa Belmonte	F	Jr	25	15	25	40	1.6000	2	3	0	0
Andrea Ciarletta	F	Jr	24	26	12	38	1.5833	5	4	0	0
Casey Turner	F	So	25	15	10	25	1.0000	1	1	0	0
Maria Guanci	F	Fr	24	6	13	19	0.7917	0	1	0	0
Molly Norton	F	Sr	23	8	6	14	0.6087	0	1	0	1
Kristin Wilson	D	Sr	24	3	11	14	0.5833	1	1	1	0
Melissa Wigmore	D	Jr	25	4	9	13	0.5200	2	0	0	0
Katherine Wall	F	So	25	3	10	13	0.5200	0	1	0	0
Audrey Deguire	D	So	25	4	4	8	0.3200	0	2	0	0
Rose Devlin	D	So	24	2	4	6	0.2500	0	1	0	0
Lauren O'Connor	F	So	25	1	5	6	0.2400	0	0	0	0
Kerri Loranger	F	Fr	9	1	5	6	0.6667	0	0	0	0
Katie Reardon	F	Jr	25	3	2	5	0.2000	3	0	0	0
Jaclyn Brith	F	Fr	21	3	2	5	0.2381	0	1	0	0
Sarah Cronin	D	Fr	24	0	5	5	0.2083	0	0	0	0
Garbrielle Goodrow	F	Jr	15	2	0	2	0.1333	0	0	0	0
Christina Lynch	F	So	24	1	1	2	0.0833	1	0	0	0
Leanne Corsino	D	Jr	24	0	2	2	0.0833	0	0	0	0
Anna Dahlberg	F	Fr	19	0	0	0	0.0000	0	0	0	0
Ashley Spinney	D	So	15	0	0	0	0.0000	0	0	0	0
Shannon Palmer	G	Jr	10	0	0	0	0.0000	0	0	0	0
Kerri Zizzo	D	Jr	4	0	0	0	0.0000	0	0	0	0
Amanda Boucher	G	Jr	17	0	0	0	0.0000	0	0	0	0
