Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Maria Nasta	F	Sr	27	20	15	35	1.2963	17	34	2	6	4	1
Rachel Sousa	F	Jr	27	9	16	25	0.9259	3	6	1	2	0	0
Lauren Duran	F	Jr	27	11	11	22	0.8148	11	22	4	5	0	0
Sam Phillips	F	So	22	8	14	22	1.0000	3	6	1	0	1	0
Kristen Smith	F	Jr	27	9	10	19	0.7037	0	0	0	1	0	0
Alli Greenberg	F	Fr	27	8	7	15	0.5556	22	44	0	5	0	1
Jazz Webber	D	Jr	26	2	13	15	0.5769	15	30	2	1	0	0
Katie Kirwan	F	Jr	27	6	8	14	0.5185	2	4	2	1	0	0
Hannah Davis	D	Jr	26	4	8	12	0.4615	13	26	1	4	0	0
Katelyn Corsino	F	Sr	27	1	8	9	0.3333	5	10	0	0	0	0
Sandy Parlato	F	Sr	26	2	4	6	0.2308	5	10	0	0	0	0
Kelly Gillis	F	So	20	2	4	6	0.3000	8	16	0	0	0	0
Katelyn Lajoie	F	Sr	25	1	5	6	0.2400	4	8	0	0	0	0
Whitney Fraleigh	F	So	19	3	2	5	0.2632	0	0	1	0	0	0
Karoline Perdios	F	So	16	3	1	4	0.2500	0	0	0	0	0	0
Brittany Usmail	D	So	27	2	2	4	0.1481	11	22	2	1	0	0
Julia Gould	D	Fr	27	2	1	3	0.1111	2	4	1	0	0	0
Katelyn Pohlman	D	Sr	18	0	3	3	0.1667	0	0	0	0	0	0
Amanda Cianciulli	D	Sr	24	0	3	3	0.1250	23	46	0	0	0	0
Allison Manzella	D	Fr	17	2	0	2	0.1176	0	0	0	0	0	0
Jami Cudmore	G	So	5	0	0	0	0.0000	0	0	0	0	0	0
Leah Hallett	G	So	25	0	0	0	0.0000	0	0	0	0	0	0
Rebecca Murphy	D	Fr	3	0	0	0	0.0000	0	0	0	0	0	0
