Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Elizabeth Flanagan	F	So	24	14	26	40	1.6667	0	3	4	0
Courtney Riepenhoff	F	So	25	21	12	33	1.3200	3	2	0	0
Molly Flanagan	F	So	18	14	16	30	1.6667	4	2	1	0
Kate Gustafson	F	Fr	26	9	21	30	1.1538	1	1	0	0
Hannah Baldwin	D	So	24	9	10	19	0.7917	0	1	2	0
Jennifer Fleming	F	So	26	8	8	16	0.6154	2	0	1	0
Erin Vehec	F	So	12	8	6	14	1.1667	0	3	1	0
Orly Amir	G	Sr	26	3	8	11	0.4231	0	0	0	0
Jamie Laubisch	D	So	26	2	9	11	0.4231	0	1	0	0
Meg Lloyd	D	Fr	25	0	11	11	0.4400	0	0	0	0
Samantha Glover	D	Fr	26	7	3	10	0.3846	1	0	0	0
Carolyn Simon	F	Sr	26	5	3	8	0.3077	0	1	1	0
Lisa Schulkind	F	So	23	4	4	8	0.3478	0	0	0	0
Hillary Magee	F	So	24	3	5	8	0.3333	0	0	0	0
Alexandra Wasp	D	So	15	2	5	7	0.4667	0	0	0	0
Molly Semler	F	Sr	17	0	4	4	0.2353	0	0	0	0
Alyssa Maloney	F	So	25	1	0	1	0.0400	0	0	0	0
Victoria Elkins	G	Jr	2	0	0	0	0.0000	0	0	0	0
Heather Olney	G	So	3	0	0	0	0.0000	0	0	0	0
Dana Smullyan	G	Fr	21	0	0	0	0.0000	0	0	0	0
Emily Taylor	F	Jr	10	0	0	0	0.0000	0	0	0	0
