Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Christine Valente	F	Fr	34	5	7	12	0.3529	5	21	0	3	0	0
Bryanne Panchuk	F	Fr	33	5	6	11	0.3333	4	8	0	0	0	0
Stefanie Thomson	F	So	29	7	3	10	0.3448	13	26	2	0	0	0
Molly Kate Devin	F	Sr	34	4	6	10	0.2941	8	16	0	2	0	0
Dania Simmonds	D	Sr	34	0	10	10	0.2941	24	56	0	0	0	0
Jeannie Sabourin	F	Jr	33	4	5	9	0.2727	5	10	0	0	0	0
Lauren Cromartie	F	Sr	34	3	6	9	0.2647	8	16	0	0	0	0
Lauren Hoffman	F	Sr	34	3	6	9	0.2647	12	24	0	1	0	0
Rhianna Kurio	F	Jr	34	6	2	8	0.2353	1	2	0	3	0	0
Émilie Arseneault	F	Sr	23	5	2	7	0.3043	5	10	1	2	1	0
Emma Rambo	F	Jr	34	2	3	5	0.1471	3	6	0	1	0	0
Ashley Johnston	D	So	28	1	4	5	0.1786	4	8	0	0	0	0
Maddy Norton	D	So	34	1	3	4	0.1176	11	22	0	0	0	0
Taylor Purvis	C	So	23	1	3	4	0.1739	3	6	0	0	0	0
Chelsey Heinhuis	D	Sr	33	1	3	4	0.1212	12	24	1	0	0	0
Nicole Bartlett	F	Jr	31	1	3	4	0.1290	4	8	0	0	0	0
Camille Corbin	F	Fr	27	2	1	3	0.1111	4	8	0	1	0	0
Alex Tancrell-Fontaine	D	Fr	30	0	2	2	0.0667	10	20	0	0	0	0
Kelly McGrath	D	Fr	32	0	2	2	0.0625	8	16	0	0	0	0
Elsa Bruestle	F	So	3	0	1	1	0.3333	4	8	0	0	0	0
Kayleigh Melia	D	Sr	14	0	1	1	0.0714	7	14	0	0	0	0
Shenae Lundberg	G	Fr	14	0	0	0	0.0000	1	2	0	0	0	0
Kate Gallagher	G	Sr	18	0	0	0	0.0000	0	0	0	0	0	0
Talia Menard	F	Jr	1	0	0	0	0.0000	0	0	0	0	0	0
Alana Marcinko	G	Jr	7	0	0	0	0.0000	0	0	0	0	0	0
